지역,연령대,구분,국비_남,국비_여,국비_계,사비_남,사비_여,사비_계,합계_남,합계_여,합계_계
대구,0대,0~9,0,0,0,751,696,1447,751,696,1447
대구,10대,10~19,0,0,0,179,184,363,179,184,363
대구,20대,20~29,103,0,103,584,800,1384,687,800,1487
대구,30대,30~39,233,1,234,819,917,1736,1052,918,1970
대구,40대,40~49,558,6,564,993,921,1914,1551,927,2478
대구,50대,50~59,574,8,582,1455,1690,3145,2029,1698,3727
대구,60대,60~69,1062,14,1076,2416,3465,5881,3478,3479,6957
대구,70대,70~79,13143,11,13154,5261,5666,10927,18404,5677,24081
대구,80대,80~89,2786,10,2796,1442,2220,3662,4228,2230,6458
대구,90대,90세 이상,633,1,634,1432,602,2034,2065,603,2668
부산,0대,0~9,0,0,0,447,418,865,447,418,865
부산,10대,10~19,2,0,2,357,409,766,359,409,768
부산,20대,20~29,98,0,98,409,571,980,507,571,1078
부산,30대,30~39,210,0,210,316,451,767,526,451,977
부산,40대,40~49,423,6,429,567,604,1171,990,610,1600
부산,50대,50~59,547,1,548,802,999,1801,1349,1000,2349
부산,60대,60~69,1105,9,1114,1496,2628,4124,2601,2637,5238
부산,70대,70~79,14283,6,14289,6409,4067,10476,20692,4073,24765
부산,80대,80~89,2335,11,2346,1301,1388,2689,3636,1399,5035
부산,90대,90세 이상,338,0,338,673,201,874,1011,201,1212
대전,0대,0~9,0,0,0,51,47,98,51,47,98
대전,10대,10~19,0,0,0,165,210,375,165,210,375
대전,20대,20~29,66,0,66,605,518,1123,671,518,1189
대전,30대,30~39,204,0,204,525,547,1072,729,547,1276
대전,40대,40~49,371,4,375,756,688,1444,1127,692,1819
대전,50대,50~59,455,5,460,1496,1221,2717,1951,1226,3177
대전,60대,60~69,760,8,768,2609,1954,4563,3369,1962,5331
대전,70대,70~79,7187,9,7196,3475,2648,6123,10662,2657,13319
대전,80대,80~89,1340,3,1343,1360,794,2154,2700,797,3497
대전,90대,90세 이상,257,0,257,344,623,967,601,623,1224
중앙,0대,0~9,0,0,0,228,195,423,228,195,423
중앙,10대,10~19,0,0,0,247,206,453,247,206,453
중앙,20대,20~29,576,2,578,543,851,1394,1119,853,1972
중앙,30대,30~39,665,7,672,635,964,1599,1300,971,2271
중앙,40대,40~49,1156,17,1173,1425,1673,3098,2581,1690,4271
중앙,50대,50~59,1431,15,1446,2358,3143,5501,3789,3158,6947
중앙,60대,60~69,2563,28,2591,4939,8376,13315,7502,8404,15906
중앙,70대,70~79,31008,41,31049,12746,13817,26563,43754,13858,57612
중앙,80대,80~89,6865,22,6887,3754,5714,9468,10619,5736,16355
중앙,90대,90세 이상,1073,3,1076,2723,1214,3937,3796,1217,5013
인천,0대,0~9,0,0,0,0,0,0,0,0,0
인천,10대,10~19,0,0,0,27,25,52,27,25,52
인천,20대,20~29,17,0,17,260,220,480,277,220,497
인천,30대,30~39,100,0,100,375,204,579,475,204,679
인천,40대,40~49,234,2,236,352,278,630,586,280,866
인천,50대,50~59,283,3,286,778,717,1495,1061,720,1781
인천,60대,60~69,493,4,497,1292,1752,3044,1785,1756,3541
인천,70대,70~79,5178,2,5180,5499,2107,7606,10677,2109,12786
인천,80대,80~89,685,0,685,1271,965,2236,1956,965,2921
인천,90대,90세 이상,108,0,108,725,128,853,833,128,961
광주,0대,0~9,0,0,0,809,1887,2696,809,1887,2696
광주,10대,10~19,1,0,1,1447,1693,3140,1448,1693,3141
광주,20대,20~29,169,0,169,883,1434,2317,1052,1434,2486
광주,30대,30~39,183,1,184,816,981,1797,999,982,1981
광주,40대,40~49,450,3,453,1133,1284,2417,1583,1287,2870
광주,50대,50~59,631,6,637,1817,2065,3882,2448,2071,4519
광주,60대,60~69,1114,26,1140,2339,3195,5534,3453,3221,6674
광주,70대,70~79,8376,9,8385,2554,4257,6811,10930,4266,15196
광주,80대,80~89,1477,10,1487,1056,1999,3055,2533,2009,4542
광주,90대,90세 이상,295,2,297,745,450,1195,1040,452,1492
