년도,지역,구분,자연인,연인원
2023,서울,감면,47088,443535
2023,서울,국비,46815,770560
2023,서울,일반,12525,57258
2023,서울,감면,51889,513237
2023,서울,국비,49382,830594
2023,서울,일반,12444,63727
2023,서울,감면,52761,528372
2023,서울,국비,45706,829858
2023,서울,일반,3156,21238
2023,서울,감면,53859,547005
2023,서울,국비,45546,846170
2023,서울,일반,3209,19781
2023,서울,감면,54921,551054
2023,서울,국비,45896,859893
2023,서울,일반,3132,18942
2023,서울,감면,57401,580674
2023,서울,국비,45923,880671
2023,서울,일반,3487,19452
2023,서울,감면,58542,593484
2023,서울,국비,46049,879668
2023,서울,일반,3573,19341
2023,서울,감면,58531,627547
2023,서울,국비,45288,849858
2023,서울,일반,3726,18689
2023,서울,감면,59267,660836
2023,서울,국비,45307,837993
2023,서울,일반,4127,20806
2023,서울,감면,54367,601405
2023,서울,국비,46145,795468
2023,서울,일반,18473,82754
2023,서울,감면,52991,569544
2023,서울,국비,45524,731371
2023,서울,일반,25867,123391
2023,서울,감면,52910,557483
2023,서울,국비,45068,712710
2023,서울,일반,18238,84482
2023,서울,감면,52879,593364
2023,서울,국비,45605,748397
2023,서울,일반,13809,70886
2023,부산,감면,1,0
2023,부산,감면,12530,137085
2023,부산,국비,18437,463604
2023,부산,일반,7366,32492
2023,부산,감면,13096,136915
2023,부산,국비,19083,473001
2023,부산,일반,7929,34534
2023,부산,감면,13271,140239
2023,부산,국비,18539,481008
2023,부산,일반,8085,34730
2023,부산,감면,13859,147915
2023,부산,국비,18673,497979
2023,부산,일반,8060,35810
2023,부산,감면,14633,144737
2023,부산,국비,18952,497267
2023,부산,일반,8176,35953
2023,부산,감면,14922,151581
2023,부산,국비,18854,519910
2023,부산,일반,8488,37804
2023,부산,감면,15274,148095
2023,부산,국비,18967,513556
2023,부산,일반,8457,36099
2023,부산,감면,15353,170804
2023,부산,국비,18807,498270
2023,부산,일반,8859,37903
2023,부산,감면,15040,178479
2023,부산,국비,19195,497290
2023,부산,일반,9509,42345
2023,부산,감면,13834,171090
2023,부산,국비,17906,472134
2023,부산,일반,9586,41200
2023,부산,감면,13729,169109
2023,부산,국비,17670,452168
2023,부산,일반,20765,72066
2023,부산,감면,13443,163731
2023,부산,국비,17329,428822
2023,부산,일반,18930,70335
2023,부산,감면,13215,170788
2023,부산,국비,17232,442894
2023,부산,일반,7858,37278
2023,인천,감면,3838,12968
2023,인천,국비,2486,8826
2023,인천,일반,867,1579
2023,인천,감면,8701,91265
2023,인천,국비,4676,53002
2023,인천,일반,2160,7770
2023,인천,감면,8828,91714
2023,인천,국비,4906,54891
2023,인천,일반,3418,8749
2023,인천,감면,8923,99011
2023,인천,국비,5106,59300
2023,인천,일반,4999,14063
2023,인천,감면,8552,88741
2023,인천,국비,5101,59264
2023,인천,일반,5330,16550
2023,인천,감면,8746,98620
2023,인천,국비,5091,68224
2023,인천,일반,3555,10768
2023,대구,감면,14095,149644
2023,대구,국비,15032,418221
2023,대구,일반,14704,51490
2023,대구,감면,14231,151995
2023,대구,국비,15386,423016
2023,대구,일반,13522,47410
2023,대구,감면,14252,151991
2023,대구,국비,14946,426653
2023,대구,일반,13963,47312
2023,대구,감면,14544,152226
2023,대구,국비,14699,430932
2023,대구,일반,16757,50604
2023,대구,감면,15062,157077
2023,대구,국비,14857,433537
2023,대구,일반,13558,47119
2023,대구,감면,15712,156838
2023,대구,국비,14737,438524
2023,대구,일반,14638,49051
2023,대구,감면,15494,157289
2023,대구,국비,14546,435032
2023,대구,일반,13746,46442
2023,대구,감면,15350,168926
2023,대구,국비,14172,418535
2023,대구,일반,14554,46946
2023,대구,감면,14909,171881
2023,대구,국비,14071,419075
2023,대구,일반,10350,43268
2023,대구,감면,13487,144335
2023,대구,국비,12930,352053
2023,대구,일반,8758,41458
2023,대구,감면,13573,162020
2023,대구,국비,12767,370833
2023,대구,일반,12240,56357
2023,대구,감면,13720,156970
2023,대구,국비,12707,352250
2023,대구,일반,17995,77419
2023,대구,감면,13919,163445
2023,대구,국비,12557,357775
2023,대구,일반,9323,40714
2023,대전,국비,9395,273103
2023,대전,감면,10017,87940
2023,대전,일반,9195,30067
2023,대전,국비,9628,285919
2023,대전,감면,10406,96619
2023,대전,일반,8798,28371
2023,대전,국비,9665,295276
2023,대전,감면,11294,103473
2023,대전,일반,8645,29385
2023,대전,국비,9507,295493
2023,대전,감면,11489,105131
2023,대전,일반,8789,29694
2023,대전,국비,9556,309641
2023,대전,감면,12057,115492
2023,대전,일반,9555,31805
2023,대전,국비,9485,321479
2023,대전,감면,12223,121456
2023,대전,일반,10451,35117
2023,대전,국비,9362,313059
2023,대전,감면,12274,120271
2023,대전,일반,10395,39118
2023,대전,국비,9208,320973
2023,대전,감면,12585,142634
2023,대전,일반,11205,41414
2023,대전,국비,9343,327887
2023,대전,감면,12799,156806
2023,대전,일반,11662,41733
2023,대전,국비,8739,291756
2023,대전,감면,10964,140670
2023,대전,일반,12594,43601
2023,대전,국비,8299,284126
2023,대전,감면,10636,143567
2023,대전,일반,17193,74640
2023,대전,국비,8334,270779
2023,대전,감면,10657,139067
2023,대전,일반,14143,60943
2023,대전,국비,8153,281922
2023,대전,감면,11667,148265
2023,대전,일반,11289,47902
2023,광주,감면,1,0
2023,광주,국비,1,0
2023,광주,일반,3,0
2023,광주,감면,14939,168306
2023,광주,국비,14478,417355
2023,광주,일반,19455,102438
2023,광주,감면,15773,175678
2023,광주,국비,15393,437805
2023,광주,일반,19241,103677
2023,광주,감면,15910,178824
2023,광주,국비,14878,428764
2023,광주,일반,19687,104352
2023,광주,감면,16142,180575
2023,광주,국비,14637,429460
2023,광주,일반,22408,111855
2023,광주,감면,16357,180008
2023,광주,국비,14728,427128
2023,광주,일반,22354,109254
2023,광주,감면,16605,177806
2023,광주,국비,14687,423674
2023,광주,일반,22938,114047
2023,광주,감면,16397,184419
2023,광주,국비,14578,426529
2023,광주,일반,23072,114167
2023,광주,감면,16620,199390
2023,광주,국비,14524,429314
2023,광주,일반,22822,115131
2023,광주,감면,16418,198171
2023,광주,국비,14573,423627
2023,광주,일반,23747,116970
2023,광주,감면,14575,175811
2023,광주,국비,13459,379919
2023,광주,일반,20047,99129
2023,광주,감면,14448,176272
2023,광주,국비,13344,370384
2023,광주,일반,27958,124418
2023,광주,감면,13458,140837
2023,광주,국비,12857,318449
2023,광주,일반,21940,102363
2023,광주,감면,13583,151433
2023,광주,국비,12753,338289
2023,광주,일반,21340,99367
