연도,병원,진료과,전체환자수_입원,전체환자수_외래,전체환자수_합계
2013,광주,가정의학과,14668,31469,46137
2013,광주,건강관리과,0,8160,8160
2013,광주,내과,78405,153183,231588
2013,광주,마취과,0,473,473
2013,광주,비뇨기과,3826,31809,35635
2013,광주,산부인과,17,1981,1998
2013,광주,소아청소년과,8924,30540,39464
2013,광주,신경과,7058,28599,35657
2013,광주,신경외과,10165,20197,30362
2013,광주,안과,275,21132,21407
2013,광주,외과,14486,13743,28229
2013,광주,이비인후과,170,14570,14740
2013,광주,재활의학과,25935,31145,57080
2013,광주,정신과,0,8720,8720
2013,광주,정형외과,24527,48498,73025
2013,광주,치과,0,26164,26164
2013,광주,피부과,2,27431,27433
2013,광주,핵의학과,0,265,265
2013,광주,흉부외과,2308,1834,4142
2013,대구,가정의학과,6420,9823,16243
2013,대구,건강관리과,0,10763,10763
2013,대구,내과,69085,130018,199103
2013,대구,마취과,0,2623,2623
2013,대구,비뇨기과,3485,45555,49040
2013,대구,산부인과,21,6188,6209
2013,대구,소아청소년과,585,3676,4261
2013,대구,신경과,4552,27523,32075
2013,대구,신경외과,21498,26387,47885
2013,대구,안과,384,23861,24245
2013,대구,외과,9181,12418,21599
2013,대구,응급의학과,0,0,0
2013,대구,이비인후과,174,18981,19155
2013,대구,재활의학과,24722,38062,62784
2013,대구,정신건강의학과,0,8881,8881
2013,대구,정형외과,23377,30637,54014
2013,대구,치과,0,28206,28206
2013,대구,피부과,111,24325,24436
2013,대구,핵의학과,0,4642,4642
2013,대구,흉부외과,0,0,0
2013,대전,가정의학과,14065,25323,39388
2013,대전,건강관리과,0,4765,4765
2013,대전,내과,48987,68819,117806
2013,대전,비뇨기과,943,24546,25489
2013,대전,산부인과,20,1185,1205
2013,대전,소아청소년과,26,448,474
2013,대전,신경과,10238,24530,34768
2013,대전,신경외과,6606,5349,11955
2013,대전,안과,209,13862,14071
2013,대전,외과,5896,8586,14482
2013,대전,응급실,0,5703,5703
2013,대전,이비인후과,853,11615,12468
2013,대전,재활의학과,3908,15829,19737
2013,대전,정신건강의학과,0,8475,8475
2013,대전,정신과,0,0,0
2013,대전,정형외과,28220,40484,68704
2013,대전,치과,0,21266,21266
2013,대전,통증크리닉,0,59,59
2013,대전,피부과,0,19707,19707
2013,대전,한방내과,0,7794,7794
2013,대전,한방진료과,133,0,133
2013,부산,가정의학과,8454,19897,28351
2013,부산,건강관리과,0,8025,8025
2013,부산,구분,0,0,0
2013,부산,내분비내과,8406,21655,30061
2013,부산,비뇨기과,4042,42562,46604
2013,부산,산부인과,0,2559,2559
2013,부산,소아청소년과,0,7012,7012
2013,부산,소화기내과,33175,31150,64325
2013,부산,순환기내과,7313,25473,32786
2013,부산,신경과,8927,21026,29953
2013,부산,신경외과,36578,28608,65186
2013,부산,신장내과,5863,16608,22471
2013,부산,안과,509,34946,35455
2013,부산,외과,4221,7997,12218
2013,부산,이비인후과,621,16815,17436
2013,부산,일반내과,0,30818,30818
2013,부산,재활의학과,7476,27837,35313
2013,부산,정신건강의학과,0,12351,12351
2013,부산,정형외과,40707,37688,78395
2013,부산,치과,0,26148,26148
2013,부산,피부과,0,34823,34823
2013,부산,한방진료과,0,7566,7566
2013,부산,향정신과,0,1280,1280
2013,부산,호흡기내과,8288,10136,18424
2013,중앙,가정의학과,1933,61537,63470
2013,중앙,감염내과,1041,2947,3988
2013,중앙,건강관리과,0,4401,4401
2013,중앙,기타,0,2982,2982
2013,중앙,내분비내과,4496,47128,51624
2013,중앙,류마티스내과,1107,9767,10874
2013,중앙,방사선종양학과,0,4315,4315
2013,중앙,비뇨기과,6486,81303,87789
2013,중앙,산부인과,1720,22261,23981
2013,중앙,성형외과,0,22,22
2013,중앙,소아청소년과,0,2744,2744
2013,중앙,소화기내과,16497,56484,72981
2013,중앙,순환기내과,17114,93794,110908
2013,중앙,신경과,11426,80562,91988
2013,중앙,신경외과,38838,32940,71778
2013,중앙,신장내과,14392,29601,43993
2013,중앙,안과,3156,60778,63934
2013,중앙,외과,17002,14213,31215
2013,중앙,욕창진료센터,3728,1059,4787
2013,중앙,이비인후과,6881,42313,49194
2013,중앙,일반내과,0,26600,26600
2013,중앙,재활의학과,28365,68690,97055
2013,중앙,정신건강의학과,21447,35720,57167
2013,중앙,정형외과,63496,74084,137580
2013,중앙,치과,630,108491,109121
2013,중앙,통증클리닉,828,9412,10240
2013,중앙,피부과,442,48447,48889
2013,중앙,한의과,0,7565,7565
2013,중앙,혈액종양내과,29974,18781,48755
2013,중앙,호스피스,7508,0,7508
2013,중앙,호흡기내과,14541,26118,40659
2013,중앙,흉부외과,11057,8501,19558
2014,광주,가정의학과,15682,33707,49389
2014,광주,건강관리과,0,9851,9851
2014,광주,구분,0,0,0
2014,광주,내과,71553,152566,224119
2014,광주,마취과,81,471,552
2014,광주,비뇨기과,3862,32068,35930
2014,광주,산부인과,35,1507,1542
2014,광주,소아청소년과,9790,31373,41163
2014,광주,신경과,9002,30857,39859
2014,광주,신경외과,7615,19439,27054
2014,광주,안과,172,22946,23118
2014,광주,외과,17655,13209,30864
2014,광주,이비인후과,138,15153,15291
2014,광주,재활의학과,26447,33334,59781
2014,광주,정신과,0,9070,9070
2014,광주,정형외과,24011,46964,70975
2014,광주,치과,0,29723,29723
2014,광주,피부과,0,25485,25485
2014,광주,핵의학과,0,211,211
2014,광주,흉부외과,3058,1992,5050
2014,대구,가정의학과,6350,11199,17549
2014,대구,건강관리과,0,13814,13814
2014,대구,내과,71641,130272,201913
2014,대구,마취과,0,2703,2703
2014,대구,비뇨기과,4452,45999,50451
2014,대구,산부인과,0,5698,5698
2014,대구,소아청소년과,467,2889,3356
2014,대구,신경과,3678,27501,31179
2014,대구,신경외과,23987,24689,48676
2014,대구,안과,567,23757,24324
2014,대구,외과,8019,11514,19533
2014,대구,응급의학과,0,0,0
2014,대구,이비인후과,326,19439,19765
2014,대구,재활의학과,25801,42155,67956
2014,대구,정신건강의학과,0,9403,9403
2014,대구,정형외과,21837,28862,50699
2014,대구,치과,0,28931,28931
2014,대구,피부과,50,24221,24271
2014,대구,핵의학과,0,4936,4936
2014,대구,흉부외과,0,0,0
2014,대전,가정의학과,11413,26910,38323
2014,대전,건강관리과,0,5147,5147
2014,대전,내과,29172,47483,76655
2014,대전,비뇨기과,609,25434,26043
2014,대전,산부인과,0,1272,1272
2014,대전,소아청소년과,0,343,343
2014,대전,소화기내과,9881,11577,21458
2014,대전,순환기내과,1725,0,1725
2014,대전,신경과,11445,26207,37652
2014,대전,신경외과,5738,4367,10105
2014,대전,심장내과,0,5682,5682
2014,대전,안과,187,14481,14668
2014,대전,외과,5626,8039,13665
2014,대전,응급실,0,5293,5293
2014,대전,이비인후과,433,11692,12125
2014,대전,재활의학과,3831,15246,19077
2014,대전,정신건강의학과,0,9229,9229
2014,대전,정형외과,27860,40692,68552
2014,대전,치과,0,22420,22420
2014,대전,통증크리닉,0,283,283
2014,대전,피부과,0,19177,19177
2014,대전,한방내과,0,6999,6999
2014,대전,한방진료과,125,0,125
2014,대전,호흡기내과,5713,8929,14642
2014,부산,가정의학과,8243,16496,24739
2014,부산,건강관리과,0,8327,8327
2014,부산,구분,0,0,0
2014,부산,내분비내과,8425,21889,30314
2014,부산,비뇨기과,3876,44705,48581
2014,부산,산부인과,0,2418,2418
2014,부산,소아청소년과,0,7566,7566
2014,부산,소화기내과,36413,36518,72931
2014,부산,순환기내과,7240,28759,35999
2014,부산,신경과,8265,21260,29525
2014,부산,신경외과,35190,29802,64992
2014,부산,신장내과,4069,17902,21971
2014,부산,안과,539,36656,37195
2014,부산,외과,6321,8469,14790
2014,부산,이비인후과,760,16049,16809
2014,부산,일반내과,0,35111,35111
2014,부산,재활의학과,7068,26601,33669
2014,부산,정신건강의학과,0,14127,14127
2014,부산,정형외과,41353,41400,82753
2014,부산,치과,0,27964,27964
2014,부산,피부과,0,36365,36365
2014,부산,한방진료과,0,6994,6994
2014,부산,향정신과,0,666,666
2014,부산,호흡기내과,8123,11046,19169
2014,중앙,가정의학과,1883,59854,61737
2014,중앙,감염내과,104,4353,4457
2014,중앙,건강관리과,0,5065,5065
2014,중앙,기타,0,2493,2493
2014,중앙,내분비내과,3579,48008,51587
2014,중앙,류마티스내과,1050,9490,10540
2014,중앙,방사선종양학과,0,5008,5008
2014,중앙,비뇨기과,5679,83366,89045
2014,중앙,산부인과,1743,21529,23272
2014,중앙,성형외과,488,1397,1885
2014,중앙,소아청소년과,0,3206,3206
2014,중앙,소화기내과,15459,59817,75276
2014,중앙,순환기내과,19462,96305,115767
2014,중앙,신경과,10322,82824,93146
2014,중앙,신경외과,28757,32166,60923
2014,중앙,신장내과,14180,32132,46312
2014,중앙,안과,3082,60170,63252
2014,중앙,외과,19500,15880,35380
2014,중앙,욕창진료센터,487,392,879
2014,중앙,이비인후과,6214,42591,48805
2014,중앙,일반내과,0,23777,23777
2014,중앙,재활센터신경과,599,1828,2427
2014,중앙,재활의학과,53790,86378,140168
2014,중앙,정신건강의학과,26515,36562,63077
2014,중앙,정형외과,46806,75116,121922
2014,중앙,치과,326,120228,120554
2014,중앙,통증클리닉,826,9504,10330
2014,중앙,피부과,448,48514,48962
2014,중앙,한의과,0,7936,7936
2014,중앙,혈액종양내과,30165,19599,49764
2014,중앙,호스피스,1158,0,1158
2014,중앙,호흡기내과,18092,26694,44786
2014,중앙,흉부외과,13173,9867,23040
2015,광주,가정의학과,17812,40550,58362
2015,광주,건강관리과,0,11216,11216
2015,광주,구분,0,0,0
2015,광주,내과,62182,156216,218398
2015,광주,비뇨의학과,3232,32394,35626
2015,광주,산부인과,34,2667,2701
2015,광주,소아청소년과,9442,28428,37870
2015,광주,신경과,10852,32954,43806
2015,광주,신경외과,11122,19095,30217
2015,광주,안과,293,22819,23112
2015,광주,알레르기내과,0,371,371
2015,광주,외과,19303,12477,31780
2015,광주,응급의학과,19,0,19
2015,광주,이비인후과,56,13732,13788
2015,광주,재활의학과,25607,35251,60858
2015,광주,정신건강의학과,876,857,1733
2015,광주,정형외과,25885,45398,71283
2015,광주,치과,0,29745,29745
2015,광주,피부과,0,15151,15151
2015,광주,한의과,0,0,0
2015,광주,핵의학과,0,140,140
2015,대구,가정의학과,6563,15119,21682
2015,대구,건강관리과,0,11838,11838
2015,대구,내과,70689,130209,200898
2015,대구,마취과,0,2743,2743
2015,대구,비뇨기과,4494,46264,50758
2015,대구,산부인과,0,5796,5796
2015,대구,소아청소년과,459,2364,2823
2015,대구,신경과,2970,27941,30911
2015,대구,신경외과,23158,24257,47415
2015,대구,안과,328,23104,23432
2015,대구,외과,7716,10564,18280
2015,대구,응급의학과,0,0,0
2015,대구,이비인후과,262,19180,19442
2015,대구,재활의학과,26799,46709,73508
