연도,병원,진료과,전체환자수
2020,광주,순환기내과,51525
2020,광주,호흡기내과,20398
2020,광주,내분비내과,19793
2020,광주,감염내과,1077
2020,광주,소화기내과,31692
2020,광주,혈액종양내과,7233
2020,광주,신장내과,15007
2020,광주,일반내과,5374
2020,광주,신경과,36414
2020,광주,소아청소년과,21647
2020,광주,정신건강의학과,13496
2020,광주,외과,9451
2020,광주,정형외과,31452
2020,광주,신경외과,24337
2020,광주,산부인과,1373
2020,광주,안과,22265
2020,광주,피부과,22178
2020,광주,이비인후과,11513
2020,광주,비뇨의학과,36462
2020,광주,치과,24563
2020,광주,재활의학과,30675
2020,광주,가정의학과,23385
2020,광주,마취과,942
2020,광주,핵의학과,127
2020,광주,건강관리과,9625
2020,광주,한의과,6239
2013,광주,내과,153183
2013,광주,신경과,28599
2013,광주,소아청소년과,30540
2013,광주,정신과,8720
2013,광주,외과,13743
2013,광주,흉부외과,1834
2013,광주,정형외과,48498
2013,광주,신경외과,20197
2013,광주,산부인과,1981
2013,광주,안과,21132
2013,광주,피부과,27431
2013,광주,이비인후과,14570
2013,광주,비뇨기과,31809
2013,광주,치과,26164
2013,광주,재활의학과,31145
2013,광주,가정의학과,31469
2013,광주,마취과,473
2013,광주,핵의학과,265
2013,광주,건강관리과,8160
2020,부산,일반내과,18067
2020,부산,순환기내과,31505
2020,부산,호흡기내과,17690
2020,부산,내분비내과,24205
2020,부산,소화기내과,43716
2020,부산,신장내과,23818
2020,부산,류마티스내과,3199
2020,부산,소아청소년과,5607
2020,부산,신경과,20008
2020,부산,정신건강의학과,19041
2020,부산,피부과,33678
2020,부산,재활의학과,31206
2020,부산,가정의학과,23735
2020,부산,외과,7430
2020,부산,정형외과,42074
2020,부산,신경외과,24993
2020,부산,산부인과,2260
2020,부산,안과,33373
2020,부산,이비인후과,13337
2020,부산,비뇨의학과,57579
2020,부산,치과,35142
2020,부산,한방과,7085
2020,부산,건강관리과,9921
2020,부산,향정신과,248
2016,부산,구분,0
2016,부산,일반내과,43344
2016,부산,순환기내과,29829
2016,부산,호흡기내과,10740
2016,부산,내분비내과,21621
2016,부산,소화기내과,38015
2016,부산,신장내과,18191
2016,부산,소아청소년과,6463
2016,부산,신경과,21014
2016,부산,정신건강의학과,16890
