연도,병원,진료과,전체환자수
2021,광주,순환기내과,6922
2021,광주,호흡기내과,11250
2021,광주,내분비내과,849
2021,광주,감염내과,3505
2021,광주,소화기내과,4945
2021,광주,혈액종양내과,5140
2021,광주,신장내과,13825
2021,광주,신경과,10271
2021,광주,소아청소년과,20
2021,광주,정신건강의학과,0
2021,광주,외과,20355
2021,광주,정형외과,24063
2021,광주,신경외과,12582
2021,광주,산부인과,11
2021,광주,안과,564
2021,광주,피부과,0
2021,광주,이비인후과,33
2021,광주,비뇨의학과,7349
2021,광주,치과,0
2021,광주,재활의학과,23036
2021,광주,가정의학과,11483
2021,광주,응급의학과,5040
2021,대전,내과,1609
2021,대전,소화기내과,13258
2021,대전,심장내과,459
2021,대전,호흡기내과,13824
2021,대전,내분비내과,695
2021,대전,류마티스내과,2319
2021,대전,신장내과,1868
2021,대전,혈액종양내과,9240
2021,대전,소아청소년과,1496
2021,대전,신경과,6118
2021,대전,정신건강의학과,0
2021,대전,피부과,0
2021,대전,재활의학과,5163
2021,대전,가정의학과,3854
2021,대전,외과,5344
2021,대전,정형외과,30899
2021,대전,신경외과,6882
2021,대전,산부인과,0
2021,대전,안과,207
2021,대전,이비인후과,250
2021,대전,비뇨기과,180
2021,대전,치과,0
2021,대전,마취통증의학과,0
2021,대전,한방진료과,0
2021,대전,응급의학과,0
2023,인천,내과,2618
2023,인천,호흡기내과,1018
2023,인천,신경과,1157
2023,인천,재활의학과,4047
2023,인천,가정의학과,989
2023,인천,외과,317
2023,인천,정형외과,9906
2023,인천,신경외과,831
2023,인천,안과,204
2023,인천,이비인후과,240
2023,인천,비뇨의학과,7884
2023,인천,치과,0
2021,부산,일반내과,34
2021,부산,순환기내과,8537
2021,부산,호흡기내과,7370
2021,부산,내분비내과,305
2021,부산,소화기내과,31032
2021,부산,혈액종양내과,1091
2021,부산,신장내과,2875
2021,부산,류마티스내과,170
2021,부산,소아청소년과,60
2021,부산,신경과,1290
2021,부산,정신건강의학과,00
2021,부산,피부과,00
2021,부산,재활의학과,9241
2021,부산,가정의학과,6259
2021,부산,외과,2953
2021,부산,정형외과,33351
2021,부산,신경외과,32569
2021,부산,산부인과,00
2021,부산,안과,140
2021,부산,이비인후과,386
2021,부산,비뇨의학과,3262
2021,부산,치과,00
2013,대구,내과,69085
2013,대구,신경과,4552
2013,대구,정신건강의학과,00
2013,대구,외과,9181
2013,대구,흉부외과,00
2013,대구,정형외과,23377
2013,대구,신경외과,21498
2013,대구,산부인과,21
2013,대구,소아청소년과,585
2013,대구,안과,384
2013,대구,이비인후과,174
2013,대구,피부과,111
2013,대구,비뇨기과,3485
2013,대구,재활의학과,24722
2013,대구,가정의학과,6420
2013,대구,치과,00
2013,대구,응급의학과,00
2013,대구,핵의학과,00
2015,대전,내과,29172
2015,대전,소화기내과,9881
2015,대전,순환기내과,1725
2015,대전,호흡기내과,5713
2015,대전,소아청소년과,00
2015,대전,신경과,11445
2015,대전,정신건강의학과,00
2015,대전,외과,5626
2015,대전,정형외과,27860
2015,대전,신경외과,5738
2015,대전,산부인과,00
2015,대전,안과,187
2015,대전,이비인후과,433
2015,대전,피부과,00
2015,대전,비뇨기과,609
2015,대전,치과,00
2015,대전,재활의학과,3831
2015,대전,통증크리닉,00
2015,대전,가정의학과,11413
2015,대전,한방진료과,125
2015,대전,응급실,00
2013,부산,구분,0
2013,부산,일반내과,00
2013,부산,순환기내과,7313
2013,부산,호흡기내과,8288
2013,부산,내분비내과,8406
2013,부산,소화기내과,33175
2013,부산,신장내과,5863
2013,부산,소아청소년과,00
2013,부산,신경과,8927
2013,부산,정신건강의학과,00
2013,부산,외과,4221
2013,부산,정형외과,40707
2013,부산,신경외과,36578
2013,부산,산부인과,00
2013,부산,안과,509
2013,부산,이비인후과,621
2013,부산,피부과,00
2013,부산,비뇨기과,4042
2013,부산,치과,00
2013,부산,재활의학과,7476
2013,부산,가정의학과,8454
2023,대구,내과,0
2023,대구,소화기내과,20828
2023,대구,내분비내과,3966
2023,대구,순환기내과,26813
2023,대구,호흡기내과,0
2023,대구,신장내과,8946
2023,대구,감염내과,0
2023,대구,신경과,521
2023,대구,정신건강의학과,0
2023,대구,외과,1518
2023,대구,흉부외과,0
2023,대구,정형외과,21393
2023,대구,신경외과,21234
2023,대구,마취통증의학과,0
2023,대구,산부인과,0
2023,대구,소아청소년과,0
2023,대구,안과,663
2023,대구,이비인후과,00
2023,대구,피부과,0
2023,대구,비뇨의학과,2660
2023,대구,재활의학과,19771
2023,대구,가정의학과,5555
2023,대구,치과,0
2023,대구,응급의학과,0
2023,대구,핵의학과,0
2016,부산,구분,0
2016,부산,일반내과,00
2016,부산,순환기내과,7442
2016,부산,호흡기내과,8004
2016,부산,내분비내과,5398
2016,부산,소화기내과,34662
2016,부산,신장내과,4360
2016,부산,소아청소년과,00
2016,부산,신경과,7413
2016,부산,정신건강의학과,00
2016,부산,외과,3881
2016,부산,정형외과,43644
2016,부산,신경외과,39076
2016,부산,산부인과,00
2016,부산,안과,257
2016,부산,이비인후과,608
2016,부산,피부과,00
2016,부산,비뇨기과,6954
2016,부산,치과,00
2016,부산,재활의학과,9259
2016,부산,가정의학과,9598
2022,중앙,일반내과,0
2022,중앙,순환기내과,13350
2022,중앙,호흡기·알레르기내과,11115
2022,중앙,내분비내과,1252
2022,중앙,감염내과,1166
2022,중앙,소화기내과,8732
2022,중앙,혈액종양내과,11969
2022,중앙,신장내과,8572
2022,중앙,류마티스내과,245
2022,중앙,입원전담의학과,3500
2022,중앙,소아청소년과,0
2022,중앙,신경과,5009
2022,중앙,정신건강의학과,13278
2022,중앙,피부과,66
2022,중앙,재활의학과,29375
2022,중앙,가정의학과,367
2022,중앙,외과,12732
2022,중앙,흉부외과,8959
2022,중앙,정형외과,30779
2022,중앙,신경외과,13854
2022,중앙,성형외과,00
2022,중앙,산부인과,782
2022,중앙,안과,3674
2022,중앙,이비인후과,5125
2022,중앙,비뇨의학과,10002
2022,중앙,치과,142
2022,중앙,통증클리닉,50
2022,중앙,호스피스완화의료센터,8913
2022,중앙,응급의학과,0
2022,중앙,감염병전담의학과,5655
2020,대구,내과,63469
2020,대구,순화기내과,3606
2020,대구,신경과,1542
2020,대구,정신건강의학과,0
2020,대구,외과,3272
2020,대구,흉부외과,0
2020,대구,정형외과,17976
2020,대구,신경외과,20217
2020,대구,마취통증의학과,0
2020,대구,산부인과,0
2020,대구,소아청소년과,0
2020,대구,안과,1138
2020,대구,이비인후과,143
2020,대구,피부과,20
2020,대구,비뇨의학과,2429
2020,대구,재활의학과,4381
2020,대구,가정의학과,5908
2020,대구,치과,0
2020,대구,응급의학과,0
2020,대구,핵의학과,0
2018,광주,순환기내과,11055
2018,광주,호흡기내과,14819
2018,광주,내분비내과,3094
2018,광주,소화기내과,11419
2018,광주,혈액종양내과,3074
2018,광주,신장내과,16453
2018,광주,신경과,6270
2018,광주,소아청소년과,6382
2018,광주,정신건강의학과,0
2018,광주,외과,15147
2018,광주,정형외과,27912
2018,광주,신경외과,10844
2018,광주,산부인과,37
2018,광주,안과,124
2018,광주,피부과,277
2018,광주,이비인후과,407
2018,광주,비뇨의학과,4241
2018,광주,치과,0
2018,광주,재활의학과,28494
2018,광주,가정의학과,19468
2017,대구,구분,0
2017,대구,내과,70516
2017,대구,신경과,2201
2017,대구,정신건강의학과,0
2017,대구,외과,4566
2017,대구,흉부외과,0
2017,대구,정형외과,22285
2017,대구,신경외과,19627
2017,대구,산부인과,0
2017,대구,소아청소년과,69
2017,대구,안과,463
2017,대구,이비인후과,283
2017,대구,피부과,53
2017,대구,비뇨의학과,4521
2017,대구,재활의학과,24442
2017,대구,가정의학과,7657
2017,대구,치과,0
2017,대구,응급의학과,00
2017,대구,핵의학과,0
2019,중앙,일반내과,0
2019,중앙,순환기내과,17113
2019,중앙,호흡기내과,12509
2019,중앙,내분비내과,983
2019,중앙,감염내과,3957
2019,중앙,소화기내과,13263
2019,중앙,혈액종양내과,21234
2019,중앙,신장내과,10465
2019,중앙,류마티스내과,621
2019,중앙,입원전담의학과,18108
2019,중앙,소아청소년과,00
2019,중앙,신경과,8592
2019,중앙,정신건강의학과,19354
2019,중앙,피부과,465
2019,중앙,재활의학과,62306
2019,중앙,가정의학과,1368
2019,중앙,외과,15107
2019,중앙,흉부외과,14531
2019,중앙,정형외과,41513
2019,중앙,신경외과,20836
2019,중앙,산부인과,1209
2019,중앙,안과,5204
2019,중앙,이비인후과,6056
2019,중앙,비뇨의학과,7892
2019,중앙,치과,226
2019,중앙,통증클리닉,676
2019,중앙,욕창성형클리닉,0
2019,중앙,완화의료사업실,9611
2019,중앙,응급의학과,6207
2016,대구,내과,70442
2016,대구,신경과,2946
2016,대구,정신건강의학과,00
2016,대구,외과,5881
2016,대구,흉부외과,00
2016,대구,정형외과,23449
2016,대구,신경외과,21795
2016,대구,산부인과,00
2016,대구,소아청소년과,396
2016,대구,안과,357
2016,대구,이비인후과,283
2016,대구,피부과,111
2016,대구,비뇨기과,4723
2016,대구,재활의학과,25070
2016,대구,가정의학과,7563
2016,대구,치과,00
2016,대구,응급의학과,00
2016,대구,핵의학과,00
2015,대구,내과,70689
2015,대구,신경과,2970
2015,대구,정신건강의학과,00
2015,대구,외과,7716
2015,대구,흉부외과,00
2015,대구,정형외과,21284
2015,대구,신경외과,23158
2015,대구,산부인과,00
2015,대구,소아청소년과,459
2015,대구,안과,328
2015,대구,이비인후과,262
2015,대구,피부과,63
2015,대구,비뇨기과,4494
2015,대구,재활의학과,26799
2015,대구,가정의학과,6563
2015,대구,치과,00
2015,대구,응급의학과,00
2015,대구,핵의학과,00
2017,광주,내과,52803
2017,광주,신경과,7673
2017,광주,소아청소년과,6289
2017,광주,정신과,1
2017,광주,외과,19275
2017,광주,흉부외과,0
2017,광주,정형외과,27259
2017,광주,신경외과,14807
2017,광주,산부인과,36
2017,광주,안과,210
2017,광주,피부과,546
2017,광주,이비인후과,467
2017,광주,비뇨기과,4274
2017,광주,치과,0
2017,광주,재활의학과,27417
2017,광주,가정의학과,17744
2017,광주,마취과,0
2017,광주,핵의학과,0
2014,대구,내과,71641
2014,대구,신경과,3678
2014,대구,정신건강의학과,00
2014,대구,외과,8019
2014,대구,흉부외과,00
2014,대구,정형외과,21837
2014,대구,신경외과,23987
2014,대구,산부인과,00
2014,대구,소아청소년과,467
2014,대구,안과,567
2014,대구,이비인후과,326
2014,대구,피부과,50
2014,대구,비뇨기과,4452
2014,대구,재활의학과,25801
2014,대구,가정의학과,6350
2014,대구,치과,00
2014,대구,응급의학과,00
2014,대구,핵의학과,00
2013,중앙,일반내과,0
2013,중앙,순환기내과,17114
2013,중앙,호흡기내과,14541
2013,중앙,내분비내과,4496
2013,중앙,감염내과,1041
2013,중앙,소화기내과,16497
2013,중앙,혈액종양내과,29974
2013,중앙,신장내과,14392
2013,중앙,류마티스내과,1107
2013,중앙,소아청소년과,0
2013,중앙,신경과,11426
2013,중앙,정신건강의학과,21447
2013,중앙,피부과,442
2013,중앙,재활의학과,28365
2013,중앙,가정의학과,1933
2013,중앙,외과,17002
2013,중앙,흉부외과,11057
2013,중앙,정형외과,63496
2013,중앙,신경외과,38838
2013,중앙,성형외과,0
2013,중앙,산부인과,1720
2013,중앙,안과,3156
2013,중앙,이비인후과,6881
2013,중앙,비뇨기과,6486
2013,중앙,치과,630
2013,중앙,통증클리닉,828
2013,중앙,욕창진료센터,3728
2013,중앙,호스피스,7508
2013,중앙,한의과,0
2015,중앙,일반내과,0
2015,중앙,순환기내과,19149
2015,중앙,호흡기내과,20245
2015,중앙,내분비내과,2809
2015,중앙,감염내과,1540
2015,중앙,소화기내과,15809
2015,중앙,혈액종양내과,27326
2015,중앙,신장내과,14119
2015,중앙,류마티스내과,564
2015,중앙,소아청소년과,00
2015,중앙,신경과,9244
2015,중앙,정신건강의학과,29230
2015,중앙,피부과,556
2015,중앙,재활의학과,61190
2015,중앙,재활센터신경과,1236
2015,중앙,가정의학과,1953
2015,중앙,외과,18240
2015,중앙,흉부외과,12545
2015,중앙,정형외과,43322
2015,중앙,신경외과,27274
2015,중앙,성형외과,25
2015,중앙,산부인과,1386
2015,중앙,안과,3513
2015,중앙,이비인후과,6818
2015,중앙,비뇨기과,6221
2015,중앙,치과,352
2015,중앙,통증클리닉,598
2015,중앙,욕창진료센터,2331
2015,중앙,완화의료사업실,4788
2015,중앙,응급의학과,00
2019,대구,내과,80705
2019,대구,신경과,1846
2019,대구,정신건강의학과,0
2019,대구,외과,1729
2019,대구,흉부외과,0
2019,대구,정형외과,23072
2019,대구,신경외과,26458
2019,대구,마취통증의학과,0
2019,대구,산부인과,0
2019,대구,소아청소년과,42
2019,대구,안과,948
2019,대구,이비인후과,113
2019,대구,피부과,139
2019,대구,비뇨의학과,4070
2019,대구,재활의학과,1572
2019,대구,가정의학과,6291
2019,대구,치과,0
2019,대구,응급의학과,0
2019,대구,핵의학과,0
2017,부산,일반내과,0
2017,부산,순환기내과,6126
2017,부산,호흡기내과,6477
2017,부산,내분비내과,4690
2017,부산,소화기내과,37532
2017,부산,신장내과,5213
2017,부산,소아청소년과,00
2017,부산,신경과,6033
2017,부산,정신건강의학과,0
2017,부산,외과,3166
2017,부산,정형외과,40961
2017,부산,신경외과,37618
2017,부산,산부인과,0
2017,부산,안과,196
2017,부산,이비인후과,685
2017,부산,피부과,0
2017,부산,비뇨의학과,7112
2017,부산,치과,0
2017,부산,재활의학과,7177
2017,부산,가정의학과,9654
2018,대구,내과,76977
2018,대구,신경과,2057
2018,대구,정신건강의학과,0
2018,대구,외과,2230
2018,대구,흉부외과,0
2018,대구,정형외과,23718
2018,대구,신경외과,19612
2018,대구,마취통증의학과,0
2018,대구,산부인과,00
2018,대구,소아청소년과,73
2018,대구,안과,720
2018,대구,이비인후과,112
