지역,연령대,성별,이용자수
광주,0대,남,809
광주,10대,남,1448
광주,20대,남,1052
광주,30대,남,999
광주,40대,남,1583
광주,50대,남,2448
광주,60대,남,3453
광주,70대,남,10930
광주,80대,남,2533
광주,90대,남,1040
대구,0대,남,751
대구,10대,남,179
대구,20대,남,687
대구,30대,남,1052
대구,40대,남,1551
대구,50대,남,2029
대구,60대,남,3478
대구,70대,남,18404
대구,80대,남,4228
대구,90대,남,2065
대전,0대,남,51
대전,10대,남,165
대전,20대,남,671
대전,30대,남,729
대전,40대,남,1127
대전,50대,남,1951
대전,60대,남,3369
대전,70대,남,10662
대전,80대,남,2700
대전,90대,남,601
부산,0대,남,447
부산,10대,남,359
부산,20대,남,507
부산,30대,남,526
부산,40대,남,990
부산,50대,남,1349
부산,60대,남,2601
부산,70대,남,20692
부산,80대,남,3636
부산,90대,남,1011
인천,0대,남,0
인천,10대,남,27
인천,20대,남,277
인천,30대,남,475
인천,40대,남,586
인천,50대,남,1061
인천,60대,남,1785
인천,70대,남,10677
인천,80대,남,1956
인천,90대,남,833
중앙,0대,남,228
중앙,10대,남,247
중앙,20대,남,1119
중앙,30대,남,1300
중앙,40대,남,2581
중앙,50대,남,3789
중앙,60대,남,7502
중앙,70대,남,43754
중앙,80대,남,10619
중앙,90대,남,3796
광주,0대,여,1887
광주,10대,여,1693
광주,20대,여,1434
광주,30대,여,982
광주,40대,여,1287
광주,50대,여,2071
광주,60대,여,3221
광주,70대,여,4266
광주,80대,여,2009
광주,90대,여,452
대구,0대,여,696
대구,10대,여,184
대구,20대,여,800
대구,30대,여,918
대구,40대,여,927
대구,50대,여,1698
대구,60대,여,3479
대구,70대,여,5677
대구,80대,여,2230
대구,90대,여,603
대전,0대,여,47
대전,10대,여,210
대전,20대,여,518
대전,30대,여,547
대전,40대,여,692
대전,50대,여,1226
대전,60대,여,1962
대전,70대,여,2657
대전,80대,여,797
대전,90대,여,623
부산,0대,여,418
부산,10대,여,409
부산,20대,여,571
부산,30대,여,451
부산,40대,여,610
부산,50대,여,1000
부산,60대,여,2637
부산,70대,여,4073
부산,80대,여,1399
부산,90대,여,201
인천,0대,여,0
인천,10대,여,25
인천,20대,여,220
인천,30대,여,204
인천,40대,여,280
인천,50대,여,720
인천,60대,여,1756
인천,70대,여,2109
인천,80대,여,965
인천,90대,여,128
중앙,0대,여,195
중앙,10대,여,206
중앙,20대,여,853
중앙,30대,여,971
중앙,40대,여,1690
중앙,50대,여,3158
중앙,60대,여,8404
중앙,70대,여,13858
중앙,80대,여,5736
중앙,90대,여,1217
