지역,연령대,이용자수
광주,0대,2696
광주,10대,3141
광주,20대,2486
광주,30대,1981
광주,40대,2870
광주,50대,4519
광주,60대,6674
광주,70대,15196
광주,80대,4542
광주,90대,1492
대구,0대,1447
대구,10대,363
대구,20대,1487
대구,30대,1970
대구,40대,2478
대구,50대,3727
대구,60대,6957
대구,70대,24081
대구,80대,6458
대구,90대,2668
대전,0대,98
대전,10대,375
대전,20대,1189
대전,30대,1276
대전,40대,1819
대전,50대,3177
대전,60대,5331
대전,70대,13319
대전,80대,3497
대전,90대,1224
부산,0대,865
부산,10대,768
부산,20대,1078
부산,30대,977
부산,40대,1600
부산,50대,2349
부산,60대,5238
부산,70대,24765
부산,80대,5035
부산,90대,1212
인천,0대,0
인천,10대,52
인천,20대,497
인천,30대,679
인천,40대,866
인천,50대,1781
인천,60대,3541
인천,70대,12786
인천,80대,2921
인천,90대,961
중앙,0대,423
중앙,10대,453
중앙,20대,1972
중앙,30대,2271
중앙,40대,4271
중앙,50대,6947
중앙,60대,15906
중앙,70대,57612
중앙,80대,16355
중앙,90대,5013
