상병코드,상병명,국비,사비,년도,지역,구분,합계
A020,Salmonella enteritis,1.0,2.0,2019,광주,질병,3.0
A045,Campylobacter enteritis,0.0,1.0,2019,광주,질병,1.0
A047,Enterocolitis due to Clostridium difficile,4.0,7.0,2019,광주,질병,11.0
A049,"Bacterial intestinal infection, unspecified",0.0,1.0,2019,광주,질병,1.0
A080,Rotaviral enteritis,0.0,4.0,2019,광주,질병,4.0
A081,Acute gastroenteropathy due to Norwalk agent,0.0,11.0,2019,광주,질병,11.0
A0830,Sapoviral gastroenteritis,0.0,4.0,2019,광주,질병,4.0
A0831,Astroviral gastroenteritis,0.0,1.0,2019,광주,질병,1.0
A090,Other and unspecified gastroenteritis and colitis of infectious origin,1.0,1.0,2019,광주,질병,2.0
A099,Gastroenteritis and colitis of unspecified origin,24.0,93.0,2019,광주,질병,117.0
A1501,"Tuberculous of lung without cavitation or unspecified, confirmed by sputum microscopy with or without culture",0.0,2.0,2019,광주,질병,2.0
A1511,"Tuberculosis of lung without cavitation or unspecified, confirmed by culture only",4.0,3.0,2019,광주,질병,7.0
A1531,"Tuberculosis of lung without cavitation or unspecified, confirmed by unspecified means",2.0,2.0,2019,광주,질병,4.0
A1561,"Tuberculous pleurisy without cavitation or unspecified, confirmed bacteriologically and histologically",2.0,1.0,2019,광주,질병,3.0
A1620,"Tuberculosis of lung with cavitation, without mention of bacteriological or histological confirmation",0.0,1.0,2019,광주,질병,1.0
A1621,"Tuberculosis of lung without cavitation or unspecified, without mention of bacteriological or histological confirmation",5.0,6.0,2019,광주,질병,11.0
A1651,"Tuberculous pleurisy without cavitation or unspecified, without mention of bacteriological or histologicalconfirmation",1.0,3.0,2019,광주,질병,4.0
A1888,Tuberculosis of other sites,1.0,0.0,2019,광주,질병,1.0
A192,"Acute miliary tuberculosis, unspecified",0.0,2.0,2019,광주,질병,2.0
A260,Cutaneous erysipeloid,1.0,0.0,2019,광주,질병,1.0
A310,Pulmonary mycobacterial infection,4.0,0.0,2019,광주,질병,4.0
A318,Other mycobacterial infections,2.0,0.0,2019,광주,질병,2.0
A319,"Mycobacterial infection, unspecified",1.0,2.0,2019,광주,질병,3.0
A379,"Whooping cough, unspecified",1.0,0.0,2019,광주,질병,1.0
A4150,Sepsis due to Escherichia coli[E coli],1.0,0.0,2019,광주,질병,1.0
A4188,Other specified sepsis,3.0,6.0,2019,광주,질병,9.0
A419,"Sepsis, unspecified",4.0,13.0,2019,광주,질병,17.0
A46,Erysipelas,1.0,0.0,2019,광주,질병,1.0
A480,Gas gangrene,1.0,0.0,2019,광주,질병,1.0
A493,"Mycoplasma infection, unspecified site",0.0,1.0,2019,광주,질병,1.0
A681,Tick-borne relapsing fever,0.0,1.0,2019,광주,질병,1.0
A753,Typhus fever due to Rickettsia tsutsugamushi,0.0,2.0,2019,광주,질병,2.0
A86,Unspecified viral encephalitis,1.0,0.0,2019,광주,질병,1.0
A879,"Viral meningitis, unspecified",0.0,1.0,2019,광주,질병,1.0
A988,Other specified viral haemorrhagic fevers,1.0,0.0,2019,광주,질병,1.0
B002,Herpesviral gingivostomatitis and pharyngotonsillitis,0.0,6.0,2019,광주,질병,6.0
B009,"Herpesviral infection, unspecified",0.0,2.0,2019,광주,질병,2.0
B022,Zoster with other nervous system involvement,0.0,1.0,2019,광주,질병,1.0
B023,Zoster ocular disease,0.0,1.0,2019,광주,질병,1.0
B028,Zoster with other complications,0.0,1.0,2019,광주,질병,1.0
B029,Zoster without complication,2.0,5.0,2019,광주,질병,7.0
B084,Enteroviral vesicular stomatitis with exanthem,0.0,79.0,2019,광주,질병,79.0
B085,Enteroviral vesicular pharyngitis,0.0,7.0,2019,광주,질병,7.0
B159,Hepatitis A without hepatic coma,0.0,1.0,2019,광주,질병,1.0
B179,"Acute viral hepatitis, unspecified",0.0,1.0,2019,광주,질병,1.0
B1810,Chronic viral hepatitis B without delta- agent,2.0,0.0,2019,광주,질병,2.0
B182,Chronic viral hepatitis C,0.0,3.0,2019,광주,질병,3.0
B199,Unspecified viral hepatitis without hepatic coma,0.0,2.0,2019,광주,질병,2.0
B269,Mumps without complication,0.0,1.0,2019,광주,질병,1.0
B340,"Adenovirus infection, unspecified site",0.0,54.0,2019,광주,질병,54.0
B341,"Enterovirus infection, unspecified site",0.0,7.0,2019,광주,질병,7.0
B342,"Coronavirus infection, unspecified site",0.0,1.0,2019,광주,질병,1.0
B349,"Viral infection, unspecified",0.0,1.0,2019,광주,질병,1.0
B3780,Candidal esophagitis,0.0,1.0,2019,광주,질병,1.0
B379,"Candidiasis, unspecified",0.0,1.0,2019,광주,질병,1.0
B86,Scabies,1.0,0.0,2019,광주,질병,1.0
B909,Sequelae of respiratory and unspecified tuberculosis,1.0,1.0,2019,광주,질병,2.0
B956,Staphylococcus aureus as the cause of diseases classified to other chapters,1.0,0.0,2019,광주,질병,1.0
B960,Mycoplasma pneumoniae [Mpneumoniae] as the cause of diseases classified to other chapters,0.0,3.0,2019,광주,질병,3.0
C080,Malignant neoplasm of submandibular gland,2.0,0.0,2019,광주,질병,2.0
C099,"Malignant neoplasm of tonsil, unspecified",0.0,1.0,2019,광주,질병,1.0
C139,"Malignant neoplasm of hypopharynx, unspecified",1.0,2.0,2019,광주,질병,3.0
C154,Malignant neoplasm of middle third of oesophagus,0.0,1.0,2019,광주,질병,1.0
C159,"Malignant neoplasm of oesophagus, unspecified",4.0,4.0,2019,광주,질병,8.0
C1629,"Malignant neoplasm of body of stomach, unspecified",0.0,1.0,2019,광주,질병,1.0
C1631,"Malignant neoplasm of pyloric antrum, advanced",0.0,2.0,2019,광주,질병,2.0
C1690,"Malignant neoplasm of stomach, unspecified, early",1.0,0.0,2019,광주,질병,1.0
C1691,"Malignant neoplasm of stomach, unspecified, advanced",2.0,2.0,2019,광주,질병,4.0
C1699,"Malignant neoplasm of stomach, unspecified, unspecified",92.0,40.0,2019,광주,질병,132.0
C180,Malignant neoplasm of caecum,1.0,1.0,2019,광주,질병,2.0
C182,Malignant neoplasm of ascending colon,4.0,8.0,2019,광주,질병,12.0
C184,Malignant neoplasm of transverse colon,1.0,0.0,2019,광주,질병,1.0
C186,Malignant neoplasm of descending colon,3.0,1.0,2019,광주,질병,4.0
C187,Malignant neoplasm of sigmoid colon,13.0,15.0,2019,광주,질병,28.0
C189,"Malignant neoplasm of colon, unspecified",29.0,20.0,2019,광주,질병,49.0
C19,Malignant neoplasm of rectosigmoid junction,3.0,5.0,2019,광주,질병,8.0
C20,Malignant neoplasm of rectum,42.0,13.0,2019,광주,질병,55.0
C210,"Malignant neoplasm of anus, unspecified",0.0,1.0,2019,광주,질병,1.0
C220,Malignant neoplasm of liver cell carcinoma,43.0,38.0,2019,광주,질병,81.0
C221,Malignant neoplasm of intrahepatic bile duct carcinoma,15.0,33.0,2019,광주,질병,48.0
C229,"Malignant neoplasm of liver, unspecified",0.0,1.0,2019,광주,질병,1.0
C23,Malignant neoplasm of gallbladder,9.0,6.0,2019,광주,질병,15.0
C240,Malignant neoplasm of extrahepatic bile duct,0.0,4.0,2019,광주,질병,4.0
C241,Malignant neoplasm of ampulla of Vater,7.0,1.0,2019,광주,질병,8.0
C250,Malignant neoplasm of head of pancreas,3.0,2.0,2019,광주,질병,5.0
C251,Malignant neoplasm of body of pancreas,0.0,1.0,2019,광주,질병,1.0
C252,Malignant neoplasm of tail of pancreas,2.0,2.0,2019,광주,질병,4.0
C253,Malignant neoplasm of pancreatic duct,0.0,1.0,2019,광주,질병,1.0
C257,Malignant neoplasm of other parts of pancreas,0.0,1.0,2019,광주,질병,1.0
C258,Malignant neoplasm of overlapping lesion of pancreas,0.0,1.0,2019,광주,질병,1.0
C259,"Malignant neoplasm of pancreas, unspecified",21.0,16.0,2019,광주,질병,37.0
C300,Malignant neoplasm of nasal cavity,0.0,1.0,2019,광주,질병,1.0
C310,Malignant neoplasm of maxillary sinus,0.0,2.0,2019,광주,질병,2.0
