진료과,현재전문의수,최적전문의수,변화량,예측환자수,현재_환자당전문의비율,최적_환자당전문의비율,개선도
가정의학과,16,13.0,-3.0,129812.02,7636.001176470589,9272.287142857143,-21.428571428571427
내과,18,14.0,-4.0,35230.22,1854.222105263158,2348.6813333333334,-26.66666666666666
마취통증의학과,6,4.0,-2.0,8337.05,1191.0071428571428,1667.4099999999999,-40.0
비뇨의학과,14,14.0,0.0,208863.34,13924.222666666667,13924.222666666667,0.0
산부인과,6,4.0,-2.0,23999.9,3428.557142857143,4799.9800000000005,-40.000000000000014
소아청소년과,6,6.0,0.0,54753.7,7821.957142857143,7821.957142857143,0.0
신경과,11,12.0,1.0,144067.67,12005.639166666668,11082.128461538463,7.692307692307689
신경외과,11,10.0,-1.0,130069.94,10839.161666666667,11824.54,-9.090909090909097
안과,8,7.0,-1.0,82694.15,9188.238888888889,10336.76875,-12.499999999999991
외과,11,8.0,-3.0,69865.17,5822.0975,7762.796666666666,-33.33333333333333
응급의학과,3,2.0,-1.0,4148.84,1037.21,1382.9466666666667,-33.33333333333333
이비인후과,10,8.0,-2.0,61084.42,5553.12909090909,6787.1577777777775,-22.22222222222223
재활의학과,10,15.0,5.0,202883.21,18443.92818181818,12680.200625,31.25
정신건강의학과,5,4.0,-1.0,49061.15,8176.858333333334,9812.23,-19.99999999999999
정형외과,14,17.0,3.0,238022.21,15868.147333333332,13223.45611111111,16.666666666666664
치과,0,10.0,10.0,121519.78,121519.78,11047.252727272727,90.9090909090909
피부과,7,7.0,0.0,84965.14,10620.6425,10620.6425,0.0
핵의학과,1,2.0,1.0,7545.28,3772.64,2515.0933333333332,33.33333333333333
