병원명,진료과,현재전문의수,최적전문의수,변화량,변화율,예측환자수,현재_환자당전문의비율,최적_환자당전문의비율
광주,가정의학과,3,3.45016791125056,0.4501679112505599,15.005597041685329,28127.537,7031.88425,6320.556338759759
광주,산부인과,2,1.0,-1.0,-50.0,4356.6973,1452.2324333333333,2178.34865
광주,소아청소년과,2,2.0,0.0,0.0,23842.078,7947.359333333334,7947.359333333334
광주,신경과,3,4.0,1.0,33.33333333333333,49703.457,12425.86425,9940.6914
광주,신경외과,2,1.0,-1.0,-50.0,12563.993,4187.997666666667,6281.9965
광주,안과,2,1.0,-1.0,-50.0,12195.758,4065.2526666666668,6097.879
광주,외과,2,2.0,0.0,0.0,30738.656,10246.218666666666,10246.218666666666
광주,이비인후과,2,1.0,-1.0,-50.0,10913.748,3637.9159999999997,5456.874
광주,재활의학과,4,5.0,1.0,25.0,66434.33,13286.866,11072.388333333334
광주,정형외과,2,2.0,0.0,0.0,43981.39,14660.463333333333,14660.463333333333
광주,치과,0,2.0,2.0,0.0,21724.635,21724.635,7241.544999999999
광주,피부과,1,1.4246072109234436,0.42460721092344356,42.46072109234436,15517.796,7758.898,6400.12779393238
광주,핵의학과,1,1.2479282722572866,0.24792827225728664,24.792827225728665,192.99524,96.49762,85.85471448615274
광주,응급의학과,3,1.0,-2.0,-66.66666666666666,4148.8354,1037.20885,2074.4177
광주,정신건강의학과,1,1.0084919354137496,0.008491935413749596,0.8491935413749596,12886.918,6443.459,6416.215954257887
광주,비뇨의학과,4,5.0,1.0,25.0,43506.836,8701.3672,7251.1393333333335
대구,가정의학과,4,2.0,-2.0,-50.0,12836.602,2567.3204,4278.867333333334
대구,내과,9,5.0,-4.0,-44.44444444444444,8772.172,877.2172,1462.0286666666668
대구,산부인과,1,1.0,0.0,0.0,6471.7026,3235.8513,3235.8513
대구,소아청소년과,1,1.0,0.0,0.0,1204.0587,602.02935,602.02935
대구,신경과,2,2.0,0.0,0.0,32247.824,10749.274666666666,10749.274666666666
대구,신경외과,3,4.0,1.0,33.33333333333333,45370.555,11342.63875,9074.111
대구,안과,2,2.0,0.0,0.0,24281.986,8093.995333333333,8093.995333333333
대구,외과,3,1.0,-2.0,-66.66666666666666,11212.456,2803.114,5606.228
대구,이비인후과,3,1.7777811809606787,-1.2222188190393213,-40.74062730131071,17740.049,4435.01225,6386.4098157165545
대구,재활의학과,2,2.0,0.0,0.0,53177.13,17725.71,17725.71
대구,정형외과,4,5.0,1.0,25.0,43206.543,8641.3086,7201.090499999999
대구,치과,0,2.0,2.0,0.0,25953.277,25953.277,8651.092333333332
대구,피부과,2,2.0,0.0,0.0,20109.908,6703.3026666666665,6703.3026666666665
대구,핵의학과,0,1.0,1.0,0.0,7352.2886,7352.2886,3676.1443
대구,정신건강의학과,1,1.0,0.0,0.0,11798.963,5899.4815,5899.4815
대구,비뇨의학과,1,2.0,1.0,100.0,43021.203,21510.6015,14340.401
대구,마취통증의학과,2,1.0,-1.0,-50.0,2641.0735,880.3578333333334,1320.53675
대전,가정의학과,3,4.0,1.0,33.33333333333333,34215.367,8553.84175,6843.073399999999
대전,내과,6,3.0,-3.0,-50.0,7259.579,1037.0827142857142,1814.89475
대전,산부인과,1,1.0,0.0,0.0,10918.405,5459.2025,5459.2025
대전,소아청소년과,1,1.0,0.0,0.0,697.0506,348.5253,348.5253
대전,신경과,3,4.0,1.0,33.33333333333333,36322.113,9080.52825,7264.4226
대전,신경외과,2,1.0,-1.0,-50.0,10420.881,3473.627,5210.4405
대전,안과,1,1.0,0.0,0.0,12663.494,6331.747,6331.747
대전,외과,2,1.0183113151449048,-0.9816886848550952,-49.08443424275476,12949.107,4316.369,6415.8125175403475
대전,이비인후과,1,1.0,0.0,0.0,11290.346,5645.173,5645.173
대전,재활의학과,1,2.0,1.0,100.0,23287.588,11643.794,7762.529333333333
대전,정형외과,3,4.0,1.0,33.33333333333333,68639.125,17159.78125,13727.825
대전,치과,0,2.0,2.0,0.0,26313.98,26313.98,8771.326666666666
대전,피부과,1,1.0000000000406115,4.0611514151578376e-11,4.061151415157838e-09,12800.823,6400.4115,6400.411499870035
대전,응급의학과,0,2.0,2.0,0.0,0.0027489383,0.0027489383,0.0009163127666666666
대전,정신건강의학과,1,1.0,0.0,0.0,6181.7314,3090.8657,3090.8657
대전,비뇨의학과,3,4.0,1.0,33.33333333333333,33098.79,8274.6975,6619.758
대전,마취통증의학과,3,1.0,-2.0,-66.66666666666666,3457.3625,864.340625,1728.68125
부산,가정의학과,5,4.619640963065509,-0.38035903693449136,-7.607180738689827,35255.69,5875.948333333334,6273.655244474561
부산,산부인과,2,1.0,-1.0,-50.0,2253.0947,751.0315666666667,1126.54735
부산,소아청소년과,2,2.0,0.0,0.0,29010.512,9670.170666666667,9670.170666666667
부산,신경과,2,2.0,0.0,0.0,20639.436,6879.812000000001,6879.812000000001
