진료과,현재전문의수,최적전문의수,변화량,예측환자수,현재_환자당전문의비율,최적_환자당전문의비율,개선도
가정의학과,22,18.0,-4.0,187923.77,8170.598695652174,9890.724736842105,-21.052631578947366
내과,18,14.0,-4.0,35230.22,1854.222105263158,2348.6813333333334,-26.66666666666666
마취통증의학과,6,4.0,-2.0,8337.05,1191.0071428571428,1667.4099999999999,-40.0
방사선종양학과,2,1.0,-1.0,7104.97,2368.3233333333333,3552.485,-50.000000000000014
비뇨의학과,21,21.0,0.0,303213.28,13782.42181818182,13782.42181818182,0.0
산부인과,8,6.0,-2.0,41770.03,4641.114444444444,5967.147142857143,-28.571428571428577
성형외과,1,1.0,0.0,6765.51,3382.755,3382.755,0.0
소아청소년과,8,7.0,-1.0,56844.01,6316.001111111112,7105.50125,-12.499999999999995
신경과,19,18.0,-1.0,229761.43,11488.0715,12092.706842105263,-5.263157894736838
신경외과,15,13.0,-2.0,171591.97,10724.498125,12256.569285714286,-14.285714285714285
안과,14,12.0,-2.0,158758.89,10583.926000000001,12212.22230769231,-15.384615384615385
외과,18,14.0,-4.0,98385.4,5178.178947368421,6559.026666666667,-26.66666666666666
응급의학과,3,2.0,-1.0,4148.84,1037.21,1382.9466666666667,-33.33333333333333
이비인후과,15,12.0,-3.0,101477.72,6342.3575,7805.9784615384615,-23.076923076923077
재활의학과,16,23.0,7.0,316616.07,18624.474705882352,13192.33625,29.166666666666664
정신건강의학과,8,7.0,-1.0,94757.3,10528.58888888889,11844.6625,-12.499999999999996
정형외과,22,24.0,2.0,337028.09,14653.395217391306,13481.1236,8.000000000000004
치과,0,18.0,18.0,249952.66,249952.66,13155.403157894738,94.73684210526316
피부과,10,10.0,0.0,123881.27,11261.933636363638,11261.933636363638,0.0
핵의학과,1,2.0,1.0,7545.28,3772.64,2515.0933333333332,33.33333333333333
