시나리오,지표명,시뮬레이션값,전국평균,평가
2,병상가동률,36.15018630396484,85.0,낮음 (과잉)
2,병상당의사수,0.11778425655976676,0.1671,낮음
2,의사당외래환자수,4.301349518513495,10.63,적정
2,외래대비입원비율,0.09246591000461943,0.38,낮음
2,환자거절률,0.0,N/A,N/A
2,평균대기시간,0.0,N/A,N/A
2,총환자수,6430.0,N/A,N/A
2,서비스환자수,6430.0,N/A,N/A
2,거절환자수,0.0,N/A,N/A
3,병상가동률,36.15018630396484,85.0,낮음 (과잉)
3,병상당의사수,0.11778425655976676,0.1671,낮음
3,의사당외래환자수,4.301349518513495,10.63,적정
3,외래대비입원비율,0.09246591000461943,0.38,낮음
3,환자거절률,0.0,N/A,N/A
3,평균대기시간,0.0,N/A,N/A
3,총환자수,7094.0,N/A,N/A
3,서비스환자수,7094.0,N/A,N/A
3,거절환자수,0.0,N/A,N/A
4,병상가동률,36.15018630396484,85.0,낮음 (과잉)
4,병상당의사수,0.11778425655976676,0.1671,낮음
4,의사당외래환자수,4.301349518513495,10.63,적정
4,외래대비입원비율,0.09246591000461943,0.38,낮음
4,환자거절률,0.0,N/A,N/A
4,평균대기시간,0.0,N/A,N/A
4,총환자수,6765.0,N/A,N/A
4,서비스환자수,6765.0,N/A,N/A
4,거절환자수,0.0,N/A,N/A
5,병상가동률,36.15018630396484,85.0,낮음 (과잉)
5,병상당의사수,0.11778425655976676,0.1671,낮음
5,의사당외래환자수,4.301349518513495,10.63,적정
5,외래대비입원비율,0.09246591000461943,0.38,낮음
5,환자거절률,0.0,N/A,N/A
5,평균대기시간,0.0,N/A,N/A
5,총환자수,6792.0,N/A,N/A
5,서비스환자수,6792.0,N/A,N/A
5,거절환자수,0.0,N/A,N/A
6,병상가동률,36.15018630396484,85.0,낮음 (과잉)
6,병상당의사수,0.11778425655976676,0.1671,낮음
6,의사당외래환자수,4.301349518513495,10.63,적정
6,외래대비입원비율,0.09246591000461943,0.38,낮음
6,환자거절률,0.0,N/A,N/A
6,평균대기시간,0.0,N/A,N/A
6,총환자수,5223.0,N/A,N/A
6,서비스환자수,5223.0,N/A,N/A
6,거절환자수,0.0,N/A,N/A
