시뮬레이션회차,지표명,시뮬레이션값,전국평균,평가
bedchg_-50_specchg_-10,병상가동률(%),21.557552711768988,67.43,낮음 (전국평균 대비 32.0%)
bedchg_-50_specchg_-10,병상당의사수,0.0863794111891944,0.1671,낮음 (전국평균 대비 51.7%)
bedchg_-50_specchg_-10,의사당입원환자수,0.38725769630151285,4.0327,낮음 (전국평균 대비 9.6%)
bedchg_-50_specchg_-10,의사당외래환자수,6.545463588390226,10.625,낮음 (전국평균 대비 61.6%)
bedchg_-50_specchg_-10,외래대비입원비율,0.07076757461116875,0.3795,낮음 (전국평균 대비 18.6%)
bedchg_-50_specchg_-10,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
bedchg_-50_specchg_0,병상가동률(%),38.8587327017842,67.43,낮음 (전국평균 대비 57.6%)
bedchg_-50_specchg_0,병상당의사수,0.11330519243800823,0.1671,낮음 (전국평균 대비 67.8%)
bedchg_-50_specchg_0,의사당입원환자수,0.43126123432630276,4.0327,낮음 (전국평균 대비 10.7%)
bedchg_-50_specchg_0,의사당외래환자수,6.3810038414148,10.625,낮음 (전국평균 대비 60.1%)
bedchg_-50_specchg_0,외래대비입원비율,0.07806597703900563,0.3795,낮음 (전국평균 대비 20.6%)
bedchg_-50_specchg_0,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
bedchg_-50_specchg_10,병상가동률(%),56.709137384216206,67.43,적정 (전국평균 대비 84.1%)
bedchg_-50_specchg_10,병상당의사수,0.14023097368682205,0.1671,적정 (전국평균 대비 83.9%)
bedchg_-50_specchg_10,의사당입원환자수,0.4691089890095923,4.0327,낮음 (전국평균 대비 11.6%)
bedchg_-50_specchg_10,의사당외래환자수,6.232223071237885,10.625,낮음 (전국평균 대비 58.7%)
bedchg_-50_specchg_10,외래대비입원비율,0.08467873915681053,0.3795,낮음 (전국평균 대비 22.3%)
bedchg_-50_specchg_10,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
bedchg_0_specchg_-10,병상가동률(%),18.85896830506411,67.43,낮음 (전국평균 대비 28.0%)
bedchg_0_specchg_-10,병상당의사수,0.07751347660526262,0.1671,낮음 (전국평균 대비 46.4%)
bedchg_0_specchg_-10,의사당입원환자수,0.4280984879639503,4.0327,낮음 (전국평균 대비 10.6%)
bedchg_0_specchg_-10,의사당외래환자수,6.39207798658425,10.625,낮음 (전국평균 대비 60.2%)
bedchg_0_specchg_-10,외래대비입원비율,0.08865420922647618,0.3795,낮음 (전국평균 대비 23.4%)
bedchg_0_specchg_-10,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
bedchg_0_specchg_0,병상가동률(%),34.00752940947728,67.43,낮음 (전국평균 대비 50.4%)
bedchg_0_specchg_0,병상당의사수,0.09950823331349577,0.1671,낮음 (전국평균 대비 59.6%)
bedchg_0_specchg_0,의사당입원환자수,0.47191345944770596,4.0327,낮음 (전국평균 대비 11.7%)
bedchg_0_specchg_0,의사당외래환자수,6.225713923316662,10.625,낮음 (전국평균 대비 58.6%)
bedchg_0_specchg_0,외래대비입원비율,0.096189023522534,0.3795,낮음 (전국평균 대비 25.3%)
bedchg_0_specchg_0,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
bedchg_0_specchg_10,병상가동률(%),49.76157312459603,67.43,낮음 (전국평균 대비 73.8%)
bedchg_0_specchg_10,병상당의사수,0.12150299002172893,0.1671,낮음 (전국평균 대비 72.7%)
bedchg_0_specchg_10,의사당입원환자수,0.5119712124296893,4.0327,낮음 (전국평균 대비 12.7%)
bedchg_0_specchg_10,의사당외래환자수,6.075553203257006,10.625,낮음 (전국평균 대비 57.2%)
bedchg_0_specchg_10,외래대비입원비율,0.10242456009434084,0.3795,낮음 (전국평균 대비 27.0%)
bedchg_0_specchg_10,고가도지표,1.0000000000000002,1.0,적정 (전국평균 대비 100.0%)
bedchg_50_specchg_-10,병상가동률(%),10.149276759440427,67.43,낮음 (전국평균 대비 15.1%)
bedchg_50_specchg_-10,병상당의사수,0.07106367038855622,0.1671,낮음 (전국평균 대비 42.5%)
bedchg_50_specchg_-10,의사당입원환자수,0.24410864377876118,4.0327,낮음 (전국평균 대비 6.1%)
bedchg_50_specchg_-10,의사당외래환자수,7.085769354595108,10.625,낮음 (전국평균 대비 66.7%)
bedchg_50_specchg_-10,외래대비입원비율,0.035605804476042995,0.3795,낮음 (전국평균 대비 9.4%)
bedchg_50_specchg_-10,고가도지표,1.0000000000000002,1.0,적정 (전국평균 대비 100.0%)
bedchg_50_specchg_0,병상가동률(%),18.232429107071678,67.43,낮음 (전국평균 대비 27.0%)
bedchg_50_specchg_0,병상당의사수,0.0900136691835743,0.1671,낮음 (전국평균 대비 53.9%)
bedchg_50_specchg_0,의사당입원환자수,0.31157905704138583,4.0327,낮음 (전국평균 대비 7.7%)
bedchg_50_specchg_0,의사당외래환자수,6.823850202942668,10.625,낮음 (전국평균 대비 64.2%)
bedchg_50_specchg_0,외래대비입원비율,0.04736460361981922,0.3795,낮음 (전국평균 대비 12.5%)
bedchg_50_specchg_0,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
bedchg_50_specchg_10,병상가동률(%),28.851997548748567,67.43,낮음 (전국평균 대비 42.8%)
bedchg_50_specchg_10,병상당의사수,0.10896366797859237,0.1671,낮음 (전국평균 대비 65.2%)
bedchg_50_specchg_10,의사당입원환자수,0.3788346056533252,4.0327,낮음 (전국평균 대비 9.4%)
bedchg_50_specchg_10,의사당외래환자수,6.580112073818598,10.625,낮음 (전국평균 대비 61.9%)
bedchg_50_specchg_10,외래대비입원비율,0.05999160226318137,0.3795,낮음 (전국평균 대비 15.8%)
bedchg_50_specchg_10,고가도지표,0.9999999999999998,1.0,적정 (전국평균 대비 100.0%)
