시뮬레이션회차,지표명,시뮬레이션값,전국평균,평가
bed_0.8_spec_0.8,병상가동률(%),80.54829653278092,85.0,적정 (전국평균 대비 94.8%)
bed_0.8_spec_0.8,병상당의사수,0.09889559358761613,0.1671,낮음 (전국평균 대비 59.2%)
bed_0.8_spec_0.8,의사당입원환자수,0.9721170391732757,4.0327,낮음 (전국평균 대비 24.1%)
bed_0.8_spec_0.8,의사당외래환자수,6.1861771981323175,10.625,낮음 (전국평균 대비 58.2%)
bed_0.8_spec_0.8,외래대비입원비율,0.16466564538654957,0.3795,낮음 (전국평균 대비 43.4%)
bed_0.8_spec_0.8,고가도지표,0.9999999999999999,1.0,적정 (전국평균 대비 100.0%)
bed_0.8_spec_1.0,병상가동률(%),83.33333333333333,85.0,적정 (전국평균 대비 98.0%)
bed_0.8_spec_1.0,병상당의사수,0.12448627559078279,0.1671,낮음 (전국평균 대비 74.5%)
bed_0.8_spec_1.0,의사당입원환자수,1.0248412698412699,4.0327,낮음 (전국평균 대비 25.4%)
bed_0.8_spec_1.0,의사당외래환자수,5.830015401898964,10.625,낮음 (전국평균 대비 54.9%)
bed_0.8_spec_1.0,외래대비입원비율,0.18473331896552558,0.3795,낮음 (전국평균 대비 48.7%)
bed_0.8_spec_1.0,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
bed_0.8_spec_1.2,병상가동률(%),83.33333333333333,85.0,적정 (전국평균 대비 98.0%)
bed_0.8_spec_1.2,병상당의사수,0.14882066811580702,0.1671,적정 (전국평균 대비 89.1%)
bed_0.8_spec_1.2,의사당입원환자수,1.0662519370529966,4.0327,낮음 (전국평균 대비 26.4%)
bed_0.8_spec_1.2,의사당외래환자수,5.520337818502931,10.625,낮음 (전국평균 대비 52.0%)
bed_0.8_spec_1.2,외래대비입원비율,0.20318881922427734,0.3795,낮음 (전국평균 대비 53.5%)
bed_0.8_spec_1.2,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
bed_1.0_spec_0.8,병상가동률(%),74.82766373078198,85.0,적정 (전국평균 대비 88.0%)
bed_1.0_spec_0.8,병상당의사수,0.0790523585078764,0.1671,낮음 (전국평균 대비 47.3%)
bed_1.0_spec_0.8,의사당입원환자수,0.972190356027054,4.0327,낮음 (전국평균 대비 24.1%)
bed_1.0_spec_0.8,의사당외래환자수,6.193244747141827,10.625,낮음 (전국평균 대비 58.3%)
bed_1.0_spec_0.8,외래대비입원비율,0.16422208889980996,0.3795,낮음 (전국평균 대비 43.3%)
bed_1.0_spec_0.8,고가도지표,0.9999999999999999,1.0,적정 (전국평균 대비 100.0%)
bed_1.0_spec_1.0,병상가동률(%),82.38941595705295,85.0,적정 (전국평균 대비 96.9%)
bed_1.0_spec_1.0,병상당의사수,0.09950823331349577,0.1671,낮음 (전국평균 대비 59.6%)
bed_1.0_spec_1.0,의사당입원환자수,1.0240995325070668,4.0327,낮음 (전국평균 대비 25.4%)
bed_1.0_spec_1.0,의사당외래환자수,5.820598862071464,10.625,낮음 (전국평균 대비 54.8%)
bed_1.0_spec_1.0,외래대비입원비율,0.1847050398788924,0.3795,낮음 (전국평균 대비 48.7%)
bed_1.0_spec_1.0,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
bed_1.0_spec_1.2,병상가동률(%),83.33333333333333,85.0,적정 (전국평균 대비 98.0%)
bed_1.0_spec_1.2,병상당의사수,0.11895990375850567,0.1671,낮음 (전국평균 대비 71.2%)
bed_1.0_spec_1.2,의사당입원환자수,1.0664139816196538,4.0327,낮음 (전국평균 대비 26.4%)
bed_1.0_spec_1.2,의사당외래환자수,5.533739244442209,10.625,낮음 (전국평균 대비 52.1%)
bed_1.0_spec_1.2,외래대비입원비율,0.20331567088173486,0.3795,낮음 (전국평균 대비 53.6%)
bed_1.0_spec_1.2,고가도지표,1.0000000000000002,1.0,적정 (전국평균 대비 100.0%)
bed_1.2_spec_0.8,병상가동률(%),71.90825353201357,85.0,적정 (전국평균 대비 84.6%)
bed_1.2_spec_0.8,병상당의사수,0.06594892236004792,0.1671,낮음 (전국평균 대비 39.5%)
bed_1.2_spec_0.8,의사당입원환자수,0.9721963041164555,4.0327,낮음 (전국평균 대비 24.1%)
bed_1.2_spec_0.8,의사당외래환자수,6.182752223023312,10.625,낮음 (전국평균 대비 58.2%)
bed_1.2_spec_0.8,외래대비입원비율,0.16455986420943383,0.3795,낮음 (전국평균 대비 43.4%)
bed_1.2_spec_0.8,고가도지표,1.0,1.0,적정 (전국평균 대비 100.0%)
bed_1.2_spec_1.0,병상가동률(%),77.90681435631438,85.0,적정 (전국평균 대비 91.7%)
bed_1.2_spec_1.0,병상당의사수,0.08301375007724086,0.1671,낮음 (전국평균 대비 49.7%)
bed_1.2_spec_1.0,의사당입원환자수,1.0230957816916721,4.0327,낮음 (전국평균 대비 25.4%)
