day,region,veteran_patients,general_patients,total_patients,general_ratio,accessibility_effect,quality_effect,policy_effectiveness
1,부산,80,24,104,0.23076923076923078,0.06,0.105,0.6999999999999998
2,부산,80,21,101,0.2079207920792079,0.06002999999999999,0.10503149999999999,0.7000699999999999
3,부산,80,26,106,0.24528301886792453,0.06005999999999999,0.10506299999999999,0.7001399999999999
4,부산,80,24,104,0.23076923076923078,0.060090000000000005,0.10509449999999998,0.7002099999999998
5,부산,80,24,104,0.23076923076923078,0.06012,0.10512600000000001,0.7002799999999998
6,부산,80,25,105,0.23809523809523808,0.060149999999999995,0.1051575,0.7003499999999998
7,부산,80,24,104,0.23076923076923078,0.06017999999999999,0.105189,0.7004199999999998
8,부산,80,26,106,0.24528301886792453,0.06021,0.1052205,0.7004899999999998
9,부산,80,25,105,0.23809523809523808,0.060239999999999995,0.105252,0.7005599999999997
10,부산,80,23,103,0.22330097087378642,0.06027,0.10528349999999999,0.7006299999999998
11,부산,80,25,105,0.23809523809523808,0.06029999999999999,0.10531499999999998,0.7006999999999998
12,부산,80,22,102,0.21568627450980393,0.06033,0.10534650000000001,0.7007699999999999
13,부산,80,25,105,0.23809523809523808,0.06036,0.105378,0.7008399999999999
14,부산,80,25,105,0.23809523809523808,0.06038999999999999,0.1054095,0.7009099999999999
15,부산,80,24,104,0.23076923076923078,0.060419999999999995,0.105441,0.7009799999999999
16,부산,80,25,105,0.23809523809523808,0.060450000000000004,0.1054725,0.7010499999999998
17,부산,80,21,101,0.2079207920792079,0.06048,0.10550399999999999,0.7011199999999999
18,부산,80,24,104,0.23076923076923078,0.060509999999999994,0.1055355,0.7011899999999999
19,부산,80,25,105,0.23809523809523808,0.06053999999999999,0.10556700000000001,0.7012599999999999
20,부산,80,26,106,0.24528301886792453,0.06057,0.1055985,0.7013299999999999
21,부산,80,23,103,0.22330097087378642,0.0606,0.10563,0.7013999999999998
22,부산,80,28,108,0.25925925925925924,0.060629999999999996,0.10566149999999999,0.7014699999999998
23,부산,80,24,104,0.23076923076923078,0.06065999999999999,0.105693,0.7015399999999998
24,부산,80,28,108,0.25925925925925924,0.06069,0.10572449999999999,0.7016099999999998
25,부산,80,27,107,0.2523364485981308,0.060719999999999996,0.105756,0.7016799999999999
26,부산,80,24,104,0.23076923076923078,0.06075,0.1057875,0.7017499999999998
27,부산,80,30,110,0.2727272727272727,0.060779999999999994,0.105819,0.7018199999999998
28,부산,80,23,103,0.22330097087378642,0.06081,0.1058505,0.7018899999999998
29,부산,80,28,108,0.25925925925925924,0.06084,0.10588199999999999,0.7019599999999998
30,부산,80,28,108,0.25925925925925924,0.060869999999999994,0.1059135,0.7020299999999998
31,부산,80,25,105,0.23809523809523808,0.06089999999999999,0.10594499999999998,0.7020999999999997
32,부산,80,29,109,0.26605504587155965,0.060930000000000005,0.1059765,0.70217
33,부산,80,26,106,0.24528301886792453,0.06096,0.106008,0.7022399999999999
34,부산,80,27,107,0.2523364485981308,0.060989999999999996,0.1060395,0.7023099999999999
35,부산,80,27,107,0.2523364485981308,0.06101999999999999,0.106071,0.7023799999999999
36,부산,80,26,106,0.24528301886792453,0.06105,0.10610249999999999,0.7024499999999999
37,부산,80,28,108,0.25925925925925924,0.061079999999999995,0.10613399999999999,0.7025199999999999
38,부산,80,28,108,0.25925925925925924,0.06111,0.10616549999999998,0.7025899999999998
