day,veteran_patients,general_patients,total_patients,occupied_beds,bed_utilization_rate,veteran_revenue,general_revenue,total_revenue,doctor_efficiency,specialization_effect
1,72,32,104,166,0.8323844269050347,4148290.748306889,2500056.736070826,6648347.484377716,0.04807692307692308,1.2
2,73,25,98,167,0.8383717364576455,3478641.8491337425,2108512.008717193,5587153.857850935,0.05104591836734694,1.2003
3,64,32,96,162,0.8120981135783018,2587750.321709505,2118421.0348766637,4706171.3565861685,0.05213541666666667,1.2006
4,61,34,95,163,0.8157123666297638,2773052.6569660306,2335853.3932368006,5108906.050202832,0.05271052631578947,1.2008999999999999
5,79,37,116,160,0.8033764102343962,3387224.466445685,2798862.7135405457,6186087.179986231,0.0431896551724138,1.2012
6,66,37,103,163,0.8187849009172836,3101789.2323267944,2873658.6500611897,5975447.882387985,0.048665048543689325,1.2015
7,72,24,96,159,0.7993251387631033,3219224.0655758763,2077928.6231238123,5297152.688699689,0.05223958333333334,1.2018
8,63,27,90,140,0.7020164938060113,2731621.3945969944,2202522.0269477307,4934143.421544725,0.05575000000000001,1.2021
9,78,33,111,158,0.794217585880588,3782569.558720177,2249670.194542999,6032239.7532631755,0.04522522522522523,1.2024
10,64,32,96,170,0.8528561113109459,3309957.8526619077,2108661.72022714,5418619.572889048,0.05231770833333334,1.2026999999999999
11,72,35,107,153,0.7661538999847021,3820203.4639827125,3088679.8662988665,6908883.330281579,0.04696261682242991,1.2029999999999998
12,75,39,114,156,0.7845393812074393,3874223.7867763364,3424370.079662176,7298593.866438512,0.04410087719298245,1.2033
13,69,31,100,148,0.7446832512996986,3037308.7146921684,2681506.4039537613,5718815.11864593,0.050300000000000004,1.2036
14,83,37,120,170,0.8501766448946012,4300078.950394768,2769044.552636883,7069123.5030316515,0.0419375,1.2039
15,82,28,110,159,0.7982086980445025,4741503.898883742,1653177.0966838973,6394680.995567639,0.04577272727272727,1.2042
16,81,34,115,157,0.7850496324767067,4087163.1144968783,2179381.255228557,6266544.369725436,0.043804347826086956,1.2045
17,74,30,104,174,0.8738947022370759,3508240.0192387505,2205961.535305635,5714201.5545443855,0.048461538461538466,1.2047999999999999
18,76,26,102,163,0.8164375554829842,3598691.1225685254,2186759.626087578,5785450.748656103,0.04943627450980392,1.2051
19,81,28,109,152,0.7648973453061324,3917296.830627904,2152167.7736983965,6069464.6043263,0.04628440366972477,1.2054
20,65,27,92,162,0.8130527636089945,3251661.8734087995,2109329.179190968,5360991.052599767,0.05486413043478261,1.2057
21,63,30,93,156,0.7828642741736616,2897282.6601951905,2361291.429200158,5258574.089395348,0.05430107526881721,1.206
22,84,29,113,161,0.808728890641592,4308171.164103561,2302728.5475422493,6610899.71164581,0.04471238938053098,1.2063
23,61,27,88,160,0.8030115104970513,3801288.844308012,2118450.0316072777,5919738.87591529,0.05744318181818182,1.2066
24,78,35,113,148,0.7415660981190234,4345700.897660858,3010541.249152297,7356242.146813155,0.0447566371681416,1.2068999999999999
25,77,42,119,174,0.870139715546805,3310287.340824972,3557183.983516891,6867471.324341863,0.04252100840336135,1.2072
26,78,42,120,154,0.7716851135198615,3938864.03238418,3190832.1802169573,7129696.212601137,0.0421875,1.2075
27,66,28,94,149,0.7468848143136948,3456285.50210961,2034048.971531628,5490334.473641238,0.05388297872340425,1.2078
28,79,41,120,156,0.7838969241897162,4271339.30086102,2876276.504209663,7147615.805070682,0.04222916666666667,1.2081
