상병명,mean,std
노년백내장,472.26666666666665,471.3418068138819
협심증,245.42857142857142,268.0233101308899
기타 이유의 검사 및 관찰,219.66666666666666,123.94299765080181
전립선증식증,163.70967741935485,184.99102564690125
기타 척추병증,106.69902912621359,155.4136690528215
무릎관절증,104.01923076923077,135.50363433149585
기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람,98.47727272727273,137.80091616065036
조현병,91.0,12.786711852544425
기타 망막장애,90.4,83.61578798289233
달리 분류되지 않은 사춘기의 장애,79.6,101.15483181736796
U07의 응급사용,77.91044776119404,151.11371709825357
"결장, 직장, 항문 및 항문관의 양성 신생물",77.0,120.48915454776983
사타구니탈장,73.8,67.32955491845496
어깨병변,68.65306122448979,75.85774818160418
만성 허혈심장병,60.34375,108.68469025194528
장의 기타 질환,58.088235294117645,88.35409738129961
심방세동 및 조동,55.65714285714286,55.10361515691457
뇌경색증을 유발하지 않은 뇌전동맥의 폐쇄 및 협착,53.48,85.65732115042277
만성 신장병,48.36842105263158,42.45528386219492
기타 추간판장애,48.34285714285714,57.45417473619282
뇌경색증,46.80246913580247,69.30916601595463
"결장, 직장, 항문 및 항문관의 양성 신생물 ",45.1,57.52960590474748
달리 분류되지 않은 피부 및 점막병변이 특징인 기타 바이러스감염,45.0,57.982756057296896
전립선의 악성 신생물,44.196969696969695,70.79335468530267
하지의 정맥류,44.074074074074076,41.4653942146812
담석증,41.71875,49.92930518115604
재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,40.529411764705884,67.55841698768816
편두통,38.375,39.31534596784604
어깨 및 위팔 부위의 근육 및 힘줄의 손상,38.0,39.39152583605143
인슐린-비의존 당뇨병,37.54545454545455,34.56982394043578
녹내장,36.63636363636363,20.91063235424853
심부전,35.49295774647887,57.01826104464544
달리 분류되지 않은 소화계통의 처치후 장애,35.142857142857146,24.175942390653365
기타 정형외과적 추적치료를 위하여 보건서비스와 접하고 있는 사람,34.91304347826087,25.755693180834722
치아 및 지지구조의 기타 장애,34.8,27.259249194845165
목구멍 및 가슴의 통증,34.47826086956522,39.7765001033815
기타 뇌혈관질환,33.891891891891895,75.57291688009512
요추 및 골반의 골절,32.59016393442623,35.18066564140987
알콜사용에 의한 정신 및 행동 장애,32.5,7.7781745930520225
달리 분류되지 않은 처치후 근골격장애,32.08620689655172,41.687763564072206
혈액 및 조혈기관의 기타 질환,31.75,20.93442141545832
여성생식관의 폴립,31.6,8.1117199162693
상세불명 병원체의 폐렴,31.223880597014926,54.5772049955702
의심되는 질병 및 병태를 위한 의학적 관찰 및 평가,30.7,56.81363294922169
투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,30.555555555555557,31.076965388817772
대퇴골의 골절,30.403846153846153,34.21286285765989
2형 당뇨병,29.702898550724637,42.06553965627416
급성 충수염,29.571428571428573,22.56747671519803
 무릎관절증,29.5,31.81980515339464
"의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된",29.25,44.41360356712999
급성 심근경색증,28.433333333333334,26.33822884801813
죽상경화증,28.18918918918919,21.477168546360314
화농성 및 상세불명의 중이염,28.0,38.43435962781219
기타 내분비장애,27.6,16.47118696390761
치핵 및 항문주위정맥혈전증,27.516129032258064,23.382145564143503
간 및 간내 담관의 악성 신생물,27.1,35.0387127675242
기타 및 상세불명 부위의 제자리암종,27.0,39.85599076675927
방광의 악성 신생물,26.56,31.556337699099235
기타 및 부위불명의 소화계통의 양성 신생물,26.558823529411764,24.77069526736221
기타 변형성 등병증,25.864864864864863,33.41254102725349
달리 분류되지 않은 성대 및 후두의 질환,25.692307692307693,30.638713570102272
기관지 및 폐의 악성 신생물,25.622448979591837,40.180652703417195
기타 만성 폐색성 폐질환,24.833333333333332,29.08617793946872
위염 및 십이지장염,24.775,36.262212796836835
아래팔의 골절,24.576923076923077,12.794289591604771
발목을 포함한 아래다리의 골절,24.441176470588236,15.886321878156668
기타 호흡장애,24.31578947368421,28.971351043514517
전음성 및 감각신경성 청력소실,24.176470588235293,28.430255218071924
자궁의 평활근종,23.0,8.689073598491383
편마비,23.0,44.7794595769087
위의 악성 신생물,22.054347826086957,22.060040015921576
대동맥동맥류 및 박리,22.0,28.124722220850465
무릎의 내부장애,21.32,17.72408906921124
손가락 및 발가락의 후천변형,20.72222222222222,11.711259316198314
확인된 동물매개 또는 범유행 인플루엔자바이러스에 의한 인플루엔자,20.714285714285715,49.989046419238306
달리 분류되지 않은 방광의 신경근육기능장애,20.61904761904762,28.645202374003556
기타 기능성 장장애,20.23076923076923,18.59743572067438
기타 장치의 부착 및 조정를 위하여 보건서비스와 접하고 있는 사람,20.0,5.354126134736337
자궁경부를 제외한 자궁의 기타 비염증성 장애,20.0,9.246621004453464
알츠하이머병에서의 치매(G30.-+),20.0,15.968719422671311
담낭염,19.783783783783782,22.885142117315542
기타 말초혈관질환,19.666666666666668,27.95591768004287
만성 부비동염,19.25,26.564561466847632
알코올사용에 의한 정신 및 행동 장애,19.0,10.801234497346433
여성생식기탈출,19.0,4.183300132670377
두개내손상,18.92452830188679,22.25278639130543
결장의 악성 신생물,18.904109589041095,20.207372405718147
비화농성 중이염,18.5,18.414668066516974
"내부 정형외과적 인공삽입장치, 삽입물 및 이식편의 합병증",18.423076923076923,24.782531068352284
기타 동맥류 및 박리,18.3,13.65487296006651
상세불명 부위의 바이러스감염,18.25,29.273138995787022
알츠하이머병에서의 치매(G30.-†),18.0,24.041630560342615
양극성 정동장애,18.0,3.7416573867739413
유리체의 장애,17.75,17.695017275030743
"늑골, 흉골 및 흉추의 골절",17.73972602739726,14.03173723827155
악성 신생물 이외의 병태에 대한 치료후 추적검사,17.666666666666668,16.824585185574907
신장 및 요관의 결석,17.642857142857142,24.095818425786362
달리 분류된 질환에서의 신경근 및 신경총 압박,17.333333333333332,36.12016980395672
동맥 및 세동맥의 기타 장애,17.083333333333332,17.93654640586356
근골격계통 및 결합조직의 기타 후천성 변형,17.0,15.556349186104045
급성 세기관지염,16.9,31.281695037904267
위-식도역류병,16.79310344827586,14.006068354071255
기타 만성 폐쇄성 폐질환,16.59375,18.236544973778482
어깨 및 위팔의 골절,16.433333333333334,10.969183584284982
비류마티스성 대동맥판장애,16.32,14.111815380500602
과민대장증후군,16.11764705882353,15.21053234169163
인공개구에 대한 관리를 위하여 보건서비스와 접하고 있는 사람,16.0,0.0
 편마비,16.0,
귀인두관의 기타 장애,16.0,
간의 섬유증 및 경변증,15.88888888888889,7.925304884756161
하반신마비 및 사지마비,15.885714285714286,30.869527548902283
어지럼증 및 어지럼,15.74,24.13889232025736
"심장 및 혈관 인공삽입장치, 삽입물 및 이식편의 합병증",15.727272727272727,12.329565353984778
식도정맥류,15.666666666666666,6.6583281184793925
기타 심장부정맥,15.6,8.387961298005738
골연속성의 장애,15.5,0.7071067811865476
폐색성 및 역류성 요로병증,15.454545454545455,16.627469057939255
감염성 및 상세불명 기원의 기타 위장염 및 결장염,15.33695652173913,18.023962788229877
눈꺼풀의 기타 장애,14.615384615384615,10.859239242372226
위궤양,14.454545454545455,11.241916287634497
소화계통의 기타 질환,14.290322580645162,13.117910271551377
방실차단 및 좌각차단,14.0,8.763560920082657
 방광염,14.0,
유방의 양성 신생물,14.0,
기타 및 상세불명의 소화기관의 제자리암종,14.0,8.689073598491383
급성 A형간염,14.0,
탈장이 없는 마비성 장폐색증 및 장폐색,13.930232558139535,11.498230399743317
기타 관절증,13.821428571428571,15.453762747912982
알콜성 간질환,13.727272727272727,8.810118150069375
고체 및 액체에 의한 폐렴,13.721311475409836,22.54634571095797
알츠하이머병에서의 치매(G30-+),13.666666666666666,7.767453465154029
달리 분류되지 않은 세균성 폐렴,13.648148148148149,22.693326595667674
발목을 제외한 발의 골절,13.380952380952381,5.463297451870898
급성 인두염,13.25,24.500000000000004
두통,13.10344827586207,20.340573154563703
"기타 내부 인공삽입장치, 삽입물 및 이식편의 합병증",12.8,12.768264229274527
급성 신부전,12.709090909090909,19.36269105041458
수두증,12.571428571428571,11.440241294619657
뇌혈관질환의 후유증,12.523809523809524,13.750810344614807
심근병증,12.470588235294118,7.315374623514025
췌장의 악성 신생물,12.189655172413794,9.96037217748893
코 및 비동의 기타 장애,12.083333333333334,9.403591666585914
팔의 단일신경병증,12.071428571428571,13.885586909076757
난소의 양성 신생물,12.0,5.612486080160912
본태성(원발성) 고혈압,12.0,18.210632022092692
윤활막염 및 힘줄윤활막염,11.777777777777779,12.656794398442461
"만성 비염, 비인두염 및 인두염",11.625,13.855762081428175
경추간판장애,11.6,15.581749230779874
직장의 악성 신생물,11.51063829787234,10.882519570045092
급성 췌장염,11.461538461538462,7.731056251847529
"구강, 식도 및 위의 제자리암종",11.333333333333334,2.081665999466133
위 및 십이지장의 기타 질환,11.0625,8.16879224039066
기타 청력소실,11.0,12.235778917350775
복벽탈장,11.0,8.894442709417556
 위염 및 십이지장염,11.0,
알코올성 간질환,10.923076923076923,7.554927072905674
유방의 악성 신생물,10.894736842105264,12.12845477398825
비뇨계통의 기타 장애,10.74736842105263,12.657491618205778
발작성 빈맥,10.722222222222221,8.244824084418449
연조직염,10.507936507936508,10.504796164015586
뇌경색증을 유발하지 않은 대뇌동맥의 폐쇄 및 협착,10.444444444444445,9.514608650794722
주침샘의 양성 신생물,10.428571428571429,7.253898787483019
