진료과,sum,mean,std
가정의학과,4372,7.262458471760797,20.362951724415716
감염내과,975,5.909090909090909,24.845576281380158
구강악안면외과,2,1.0,0.0
내과,5082,20.247011952191237,54.48136140953029
내분비내과,1753,7.243801652892562,19.133578888674386
류마티스내과,466,4.087719298245614,12.778965988823902
비뇨기과,2424,40.4,50.32544930209394
비뇨의학과,11756,21.851301115241636,62.803588246436746
산부인과,1178,8.598540145985401,10.524802536931096
소아청소년과,2021,22.707865168539325,40.62136759906019
소화기 내과,774,36.857142857142854,52.410195300423865
소화기내과,14928,27.850746268656717,43.613640576107095
순환기내과,19839,47.12351543942993,111.7315189490409
신경과,8011,17.49126637554585,42.91002405332716
신경외과,14333,21.456586826347305,44.70301367705584
신장내과,4573,8.344890510948906,19.88843727602355
심장 내과,305,10.892857142857142,32.36863969923414
심장내과,813,10.697368421052632,27.02049579453449
안과,16584,72.10434782608695,230.08420231664394
완화의료사업,337,9.628571428571428,30.089167206708755
완화의료사업실,769,9.987012987012987,29.32014464067033
외과,13884,21.65990639625585,32.268353779147546
응급의학과,1339,8.528662420382165,11.035235239411783
이비인후과,3842,9.191387559808613,15.88633856450654
입원전담의학과,919,18.755102040816325,28.716669529099953
재활의학과,7031,11.2496,25.26738619501836
정신건강의학과,424,11.777777777777779,22.645227956599367
정신과,552,8.903225806451612,18.895493154578766
정형외과,28033,45.14170692431562,83.93735692026004
치과,561,9.048387096774194,16.646200195914194
치과보철과,2,2.0,
치주과,4,2.0,0.0
통증클리닉,80,3.6363636363636362,5.233094819060838
피부과,170,2.207792207792208,2.667236211677895
한방진료과,4,2.0,1.4142135623730951
혈액종양내과,4893,18.74712643678161,59.58488806687181
호스피스완화의료센터,374,13.357142857142858,47.036797483037866
호흡기 내과,320,13.333333333333334,30.079122713078014
호흡기·알레르기내과,368,12.689655172413794,39.88564318172273
호흡기내과,8573,18.59652928416486,62.66839843047682
흉부외과,2740,24.90909090909091,26.17497420047113
