,,합계,합계,합계,합계,합계,합계
,,mean,min,median,max,std,var
연령구분,본인유족구분,,,,,,
0~4세,본인,0.0,0.0,0.0,0.0,0.0,0.0
0~4세,유족,0.23214285714285715,0.0,0.0,2.0,0.5042031130613726,0.25422077922077924
100세이상,본인,254.94642857142858,143.0,214.5,463.0,93.25944644189853,8697.324350649342
100세이상,유족,393.85714285714283,301.0,383.0,492.0,56.44802229289547,3186.3792207792244
10~14세,본인,0.05357142857142857,0.0,0.0,1.0,0.227207782928703,0.05162337662337662
10~14세,유족,13.035714285714286,9.0,13.0,16.0,2.026768908334694,4.107792207792207
15~19세,본인,0.32142857142857145,0.0,0.0,2.0,0.5429596622265735,0.29480519480519485
15~19세,유족,36.982142857142854,28.0,38.0,48.0,5.025357776240482,25.254220779220685
20~24세,본인,370.30357142857144,303.0,379.5,450.0,39.26364019749624,1541.6334415584424
20~24세,유족,76.46428571428571,65.0,77.0,88.0,6.972580807483208,48.61688311688319
25~29세,본인,6196.818181818182,5687.0,6151.0,6835.0,284.19503546300405,80766.81818181813
25~29세,유족,160.48214285714286,109.0,160.5,205.0,32.55260976630601,1059.6724025974015
30~34세,본인,13369.436363636363,11950.0,13289.0,15440.0,1083.3993272828363,1173754.102356902
30~34세,유족,339.0357142857143,325.0,336.0,372.0,11.114223950684725,123.52597402597395
35~39세,본인,13628.2,13264.0,13415.0,14650.0,379.5508261480004,144058.82962962962
35~39세,유족,721.8571428571429,553.0,706.0,924.0,118.87096572967884,14130.306493506483
40~44세,본인,13931.290909090909,12351.0,13996.0,15069.0,853.9332238774585,729201.9508417497
40~44세,유족,1993.490909090909,1650.0,1997.0,2279.0,168.265098681644,28313.143434343387
45~49세,본인,14163.654545454545,12387.0,14396.0,15555.0,920.7998780887278,847872.4154882161
45~49세,유족,4497.527272727273,4002.0,4619.0,4779.0,246.48655996306147,60755.624242423895
50~54세,본인,13747.90909090909,12210.0,13464.0,16606.0,1296.1324559759903,1679959.3434343522
50~54세,유족,8513.563636363637,8157.0,8608.0,8765.0,198.21805834282125,39290.398653198085
55~59세,본인,19833.345454545455,19235.0,19878.0,20282.0,333.23783177372434,111047.45252525301
55~59세,유족,14130.218181818182,13724.0,13998.0,14928.0,340.88738723280744,116204.21077440999
5~9세,본인,0.0,0.0,0.0,0.0,0.0,0.0
5~9세,유족,6.607142857142857,4.0,6.0,9.0,1.2011898862615946,1.4428571428571426
60~64세,본인,23670.345454545455,22842.0,23750.0,24390.0,488.11038589805764,238251.74882155075
60~64세,유족,28068.036363636365,25369.0,28285.0,29512.0,1163.7347439209534,1354278.554208767
65~69세,본인,25304.70909090909,24304.0,25228.0,27996.0,555.963783550268,309095.72861952917
65~69세,유족,40716.10909090909,36325.0,40391.0,45800.0,3225.2091788189596,10401974.247138068
70~74세,본인,75272.23636363636,30675.0,73923.0,126802.0,31622.002512294224,999951042.8875421
70~74세,유족,45531.836363636365,36660.0,47108.0,49681.0,3522.8236295022116,12410286.324579135
75~79세,본인,107350.87272727273,71018.0,113669.0,127308.0,18513.200997861117,342738611.1872058
75~79세,유족,27871.69090909091,20399.0,26185.0,42406.0,6590.863181463242,43439477.47676776
80~84세,본인,26155.0,16356.0,21587.0,51354.0,10153.473215276303,103093018.3333333
80~84세,유족,25640.854545454546,22197.0,25381.0,31702.0,2800.664712225119,7843722.830303007
85~89세,본인,24828.81818181818,10979.0,20531.0,51285.0,13046.506637710016,170211335.44781148
85~89세,유족,34891.527272727275,30614.0,35396.0,36724.0,1528.578374328459,2336551.8464646344
90~94세,본인,30562.01818181818,23533.0,30812.0,34075.0,2934.237022987529,8609746.907070717
90~94세,유족,15371.181818181818,9748.0,15356.0,21605.0,3423.5762387635323,11720874.262626253
95~99세,본인,4380.454545454545,2469.0,4272.0,6811.0,1221.548316507493,1492180.2895622903
95~99세,유족,2366.018181818182,1489.0,2185.0,3878.0,698.6374964995446,488094.3515151511
해당없음,본인,0.0,0.0,0.0,0.0,0.0,0.0
해당없음,유족,3.4642857142857144,0.0,3.0,7.0,2.2720778292870305,5.162337662337664
