연령구분,본인유족구분,성별,mean,min,median,max,std,var
0~4세,본인,남,0.0,0.0,0.0,0.0,0.0,0.0
0~4세,본인,여,0.0,0.0,0.0,0.0,0.0,0.0
0~4세,유족,남,0.23214285714285715,0.0,0.0,2.0,0.5042031130613726,0.25422077922077924
0~4세,유족,여,0.0,0.0,0.0,0.0,0.0,0.0
100세이상,본인,남,248.44642857142858,138.0,207.5,453.0,91.68918239809521,8406.906168831174
100세이상,본인,여,6.5,4.0,7.0,10.0,1.7056057308448866,2.9090909090909203
100세이상,유족,남,51.17857142857143,40.0,51.0,62.0,6.907458795605446,47.71298701298703
100세이상,유족,여,342.67857142857144,260.0,334.0,432.0,49.81606427388925,2481.6402597402653
10~14세,본인,남,0.05357142857142857,0.0,0.0,1.0,0.227207782928703,0.05162337662337662
10~14세,본인,여,0.0,0.0,0.0,0.0,0.0,0.0
10~14세,유족,남,10.142857142857142,8.0,10.0,12.0,1.21248912165424,1.4701298701298704
10~14세,유족,여,2.892857142857143,1.0,3.0,6.0,1.473136066400477,2.1701298701298706
15~19세,본인,남,0.32142857142857145,0.0,0.0,2.0,0.5429596622265735,0.29480519480519485
15~19세,본인,여,0.0,0.0,0.0,0.0,0.0,0.0
15~19세,유족,남,20.178571428571427,18.0,20.0,24.0,1.3896650068159702,1.9311688311688302
15~19세,유족,여,16.803571428571427,8.0,18.0,25.0,5.16075978499693,26.633441558441564
20~24세,본인,남,363.375,301.0,371.0,436.0,35.77889804695705,1280.129545454547
20~24세,본인,여,6.928571428571429,0.0,7.0,16.0,4.639189360446275,21.522077922077916
20~24세,유족,남,41.964285714285715,34.0,43.0,47.0,3.5160116129412384,12.36233766233765
20~24세,유족,여,34.5,28.0,34.0,42.0,4.085450904234332,16.690909090909116
25~29세,본인,남,5918.4,5458.0,5878.0,6515.0,263.6264613257006,69498.9111111111
25~29세,본인,여,279.1607142857143,228.0,276.5,322.0,26.421600519763658,698.1009740259751
25~29세,유족,남,92.64285714285714,68.0,93.5,117.0,16.565493787255026,274.4155844155848
25~29세,유족,여,67.83928571428571,41.0,67.0,91.0,16.131028018544413,260.2100649350649
30~34세,본인,남,12551.781818181818,11215.0,12478.0,14517.0,1031.007592221736,1062976.6552188618
30~34세,본인,여,819.4107142857143,735.0,808.5,923.0,54.97760760220786,3022.537337662344
30~34세,유족,남,186.51785714285714,176.0,187.0,204.0,5.94211799224537,35.30876623376615
30~34세,유족,여,152.51785714285714,140.0,151.0,169.0,7.288823502592714,53.12694805194791
35~39세,본인,남,12877.381818181819,12612.0,12736.0,13715.0,281.037791771925,78982.24040403987
35~39세,본인,여,754.1964285714286,561.0,775.0,940.0,121.35513917916612,14727.069805194778
35~39세,유족,남,411.14285714285717,311.0,398.5,519.0,66.24731310405349,4388.706493506497
35~39세,유족,여,310.7142857142857,238.0,305.0,405.0,52.95236771621495,2803.9532467532435
40~44세,본인,남,13273.218181818182,11810.0,13337.0,14353.0,807.4167928901891,651921.8774410784
40~44세,본인,여,659.1607142857143,541.0,660.0,724.0,48.126642323132245,2316.1737012987037
40~44세,유족,남,1191.982142857143,939.0,1221.0,1406.0,130.88488919955276,17130.854220779205
40~44세,유족,여,795.7678571428571,710.0,792.5,875.0,42.61753419402877,1816.2542207792117
45~49세,본인,남,13686.563636363637,12093.0,13926.0,14825.0,794.616650263143,631415.6208754182
45~49세,본인,여,481.44642857142856,294.0,475.5,730.0,135.5981924849841,18386.869805194805
45~49세,유족,남,2871.327272727273,2473.0,2952.0,3096.0,200.26279535996494,40105.1872053872
45~49세,유족,여,1626.2,1529.0,1655.0,1683.0,48.217255248548724,2324.9037037036996
50~54세,본인,남,13486.436363636363,12018.0,13205.0,16229.0,1247.0407603252033,1555110.6579124613
50~54세,본인,여,263.32142857142856,187.0,263.0,377.0,51.38981403948638,2640.912987012992
50~54세,유족,남,5534.381818181818,5384.0,5548.0,5681.0,91.72109311689935,8412.758922558922
50~54세,유족,여,2979.181818181818,2751.0,3019.0,3124.0,114.98761461632105,13222.151515151572
55~59세,본인,남,19537.30909090909,18953.0,19616.0,19956.0,319.14845452694163,101855.73602693534
55~59세,본인,여,297.55357142857144,243.0,279.0,383.0,42.676763804571316,1821.3061688311684
55~59세,유족,남,9474.381818181819,9067.0,9426.0,9926.0,252.01598207029377,63512.05521885463
55~59세,유족,여,4655.836363636364,4516.0,4638.0,5002.0,113.11740273426844,12795.546801346682
5~9세,본인,남,0.0,0.0,0.0,0.0,0.0,0.0
5~9세,본인,여,0.0,0.0,0.0,0.0,0.0,0.0
5~9세,유족,남,3.5892857142857144,2.0,4.0,5.0,0.8898781472106825,0.7918831168831171
5~9세,유족,여,3.017857142857143,2.0,3.0,4.0,0.5219220223391586,0.27240259740259715
60~64세,본인,남,23162.52727272727,22319.0,23209.0,23910.0,520.0179432283644,270418.66127945844
60~64세,본인,여,508.55357142857144,408.0,523.0,555.0,42.40193805298703,1797.9243506493492
60~64세,유족,남,17754.127272727274,16583.0,17936.0,18317.0,467.00789328508625,218096.3723905745
60~64세,유족,여,10313.90909090909,8786.0,10323.0,11466.0,763.4284092349056,582822.9360269385
65~69세,본인,남,25026.945454545454,23895.0,24958.0,27804.0,592.2941404585642,350812.3488215494
65~69세,본인,여,280.125,192.0,258.5,410.0,72.41447934068036,5243.856818181823
65~69세,유족,남,21170.21818181818,16323.0,20920.0,26596.0,3409.4116506175947,11624087.803366993
65~69세,유족,여,19545.890909090907,18940.0,19464.0,20055.0,232.73643276901245,54166.24713804506
70~74세,본인,남,75075.29090909091,30482.0,73731.0,126580.0,31611.586709372474,999292414.2841743
70~74세,본인,여,196.92857142857142,177.0,194.0,222.0,11.64139501615156,135.52207792207835
70~74세,유족,남,17955.727272727272,14069.0,18514.0,20404.0,1589.5595180047453,2526699.4612794784
70~74세,유족,여,27576.109090909093,22591.0,28594.0,29369.0,1953.6804268101262,3816867.2101009963
75~79세,본인,남,107171.83636363636,70845.0,113496.0,127119.0,18500.4624264164,342267109.99124503
75~79세,본인,여,179.82142857142858,160.0,173.5,229.0,20.022811666021997,400.91298701298655
75~79세,유족,남,8429.636363636364,4990.0,7926.0,14113.0,2696.3196340611353,7270139.569023575
75~79세,유족,여,19442.072727272727,15230.0,18259.0,28293.0,3904.215854567629,15242901.43905724
80~84세,본인,남,25927.890909090907,16003.0,21376.0,51194.0,10196.546297412971,103969556.39528617
80~84세,본인,여,225.89285714285714,159.0,210.0,353.0,52.42750096221311,2748.642857142857
80~84세,유족,남,3367.3636363636365,2653.0,3373.0,4380.0,508.09791866282507,258163.4949494948
80~84세,유족,여,22273.49090909091,17871.0,22008.0,29049.0,3290.6082623167003,10828102.736026933
85~89세,본인,남,24166.909090909092,10679.0,19848.0,50341.0,12848.060228677736,165072651.63973057
85~89세,본인,여,655.5535714285714,300.0,675.5,945.0,215.17417212725448,46299.924350649344
85~89세,유족,남,1555.0181818181818,1176.0,1511.0,1911.0,211.08507069593293,44556.907070707006
85~89세,유족,여,33336.509090909094,28703.0,33849.0,35241.0,1640.707637222962,2691921.5508417543
90~94세,본인,남,30103.6,22938.0,30428.0,33616.0,2946.0946063610445,8679473.429629637
90~94세,본인,여,460.94642857142856,248.0,482.0,606.0,117.89709220608181,13899.724350649356
90~94세,유족,남,484.67857142857144,415.0,479.5,610.0,56.733862629219644,3218.731168831165
90~94세,유족,여,14888.690909090908,9330.0,14874.0,20995.0,3370.423145611155,11359752.180471394
95~99세,본인,남,4332.509090909091,2452.0,4238.0,6699.0,1196.0339378426443,1430497.180471382
95~99세,본인,여,49.07142857142857,17.0,35.5,112.0,27.87495268180715,777.0129870129878
95~99세,유족,남,102.91071428571429,91.0,102.5,114.0,6.006895388450862,36.08279220779223
95~99세,유족,여,2263.163636363636,1379.0,2086.0,3771.0,701.9424046130418,492723.1393939394
해당없음,본인,남,0.0,0.0,0.0,0.0,0.0,0.0
해당없음,본인,여,0.0,0.0,0.0,0.0,0.0,0.0
해당없음,유족,남,0.375,0.0,0.0,2.0,0.648424664440323,0.42045454545454547
해당없음,유족,여,2.875,0.0,3.0,6.0,1.8096961070853856,3.275
