,,합계,합계,합계,합계,합계,합계
,,mean,min,median,max,std,var
기준일,본인유족구분,,,,,,
2020-09-30,본인,19849.636363636364,0.0,12351.5,126802.0,29816.943450303803,889050116.7186148
2020-09-30,유족,10467.772727272728,2.0,1884.0,36660.0,13821.888372577125,191044598.1839827
2020-10-31,본인,19801.045454545456,0.0,12366.0,126174.0,29730.231579315692,883886669.75974
2020-10-31,유족,10506.727272727272,2.0,1890.5,37318.0,13889.767464136763,192925640.2077922
2020-11-30,본인,19746.909090909092,0.0,12391.5,125674.0,29654.038403063918,879361993.6103897
2020-11-30,유족,10546.818181818182,1.0,1889.0,38023.0,13960.46408573789,194894557.48917747
2020-12-31,본인,19716.045454545456,0.0,12395.5,125158.0,29604.206645223137,876409051.0930737
2020-12-31,유족,10579.045454545454,1.0,1876.0,38678.0,14018.08068336941,196506586.04545456
2021-01-31,본인,19677.727272727272,0.0,12451.0,123485.0,29396.135554543995,864132785.5411255
2021-01-31,유족,10618.681818181818,1.0,1883.5,39505.0,14092.811235271229,198607328.512987
2021-02-28,본인,19635.727272727272,0.0,12507.0,121754.0,29197.164647374364,852474423.4458874
2021-02-28,유족,10655.59090909091,1.0,1898.5,40082.0,14160.228884547401,200512082.06277055
2021-03-31,본인,19594.136363636364,0.0,12478.5,119409.0,28949.860965692053,838094449.9329004
2021-03-31,유족,10701.136363636364,1.0,1909.5,40620.0,14237.693962207217,202711929.36147186
2021-04-30,본인,19546.727272727272,0.0,12524.5,117572.0,28744.82709766157,826265084.8744589
2021-04-30,유족,10741.90909090909,1.0,1913.5,41065.0,14300.962251704439,204517521.32467532
2021-05-31,본인,19513.090909090908,0.0,12622.5,115488.0,28560.42295756755,815697759.5151515
2021-05-31,유족,10775.09090909091,1.0,1913.0,41436.0,14359.032086722715,206181802.4675325
2021-06-30,본인,19470.954545454544,0.0,12695.0,113477.0,28375.818005372566,805187047.474026
2021-06-30,유족,10817.136363636364,1.0,1927.0,41760.0,14429.667640615105,208215308.21861473
2021-07-31,본인,19442.363636363636,0.0,12785.5,111285.0,28199.781025062442,795227649.8614718
2021-07-31,유족,10858.363636363636,1.0,1923.0,42099.0,14490.787962227372,209982935.7662337
2021-08-31,본인,19404.409090909092,0.0,12813.5,108700.0,28022.982103400995,785287525.9675325
2021-08-31,유족,10895.227272727272,0.0,1908.0,42415.0,14541.433901038385,211453299.89826843
2021-09-30,본인,19370.81818181818,0.0,12854.0,106183.0,27865.19560933173,776469126.3463204
2021-09-30,유족,10923.90909090909,0.0,1911.5,42564.0,14578.602052352819,212535637.8008658
2021-10-31,본인,19333.136363636364,0.0,12891.5,103934.0,27739.30387820116,769468979.647186
2021-10-31,유족,10961.181818181818,0.0,1921.0,42819.0,14629.566746949931,214024223.2034632
2021-11-30,본인,19280.909090909092,0.0,12922.5,101787.0,27615.618374061774,762622378.1818182
2021-11-30,유족,10998.727272727272,0.0,1941.5,43150.0,14686.443315364386,215691617.25541124
2021-12-31,본인,19210.363636363636,0.0,12893.0,99390.0,27481.39266164247,755226942.6233766
2021-12-31,유족,11039.045454545454,0.0,1945.0,43506.0,14744.080553862555,217387911.37878793
2022-01-31,본인,19162.227272727272,0.0,12962.5,97232.0,27364.538905622292,748817989.517316
2022-01-31,유족,11072.59090909091,0.0,1968.5,43812.0,14789.824837686117,218738918.7294372
2022-02-28,본인,19113.090909090908,0.0,12997.5,99768.0,27280.62068646828,744232265.0389609
2022-02-28,유족,11103.318181818182,0.0,1982.0,43958.0,14821.394569647535,219673736.98917744
2022-03-31,본인,19061.409090909092,0.0,13010.5,101529.0,27197.52474847156,739705352.4437228
2022-03-31,유족,11140.363636363636,0.0,2004.0,44344.0,14874.446350786448,221249154.24242425
2022-04-30,본인,19008.090909090908,0.0,13069.0,102783.0,27122.046953423756,735605430.9437228
2022-04-30,유족,11181.363636363636,0.0,2015.5,44690.0,14929.837228549939,222900039.6709957
2022-05-31,본인,18952.545454545456,0.0,13102.5,104089.0,27071.11307847092,732845163.3073592
2022-05-31,유족,11221.136363636364,0.0,2017.5,45426.0,14995.03651941584,224851120.21861473
2022-06-30,본인,18907.409090909092,0.0,13139.5,105349.0,27023.579435214386,730273845.491342
2022-06-30,유족,11258.0,0.0,2011.0,45831.0,15052.099695328065,226565705.23809522
2022-07-31,본인,18889.090909090908,0.0,13228.0,106723.0,26997.72904895643,728877373.8008658
2022-07-31,유족,11288.045454545454,0.0,2011.5,46075.0,15093.18658795378,227804281.37878785
