년도,진료과,실인원
2019,가정의학과,964
2019,감염내과,143
2019,내과,2165
2019,내분비내과,313
2019,류마티스내과,104
2019,비뇨의학과,2619
2019,산부인과,289
2019,소아청소년과,1139
2019,소화기 내과,774
2019,소화기내과,2267
2019,순환기내과,2991
2019,신경과,1860
2019,신경외과,3188
2019,신장내과,952
2019,심장 내과,305
2019,안과,3384
2019,완화의료사업,337
2019,외과,2924
2019,응급의학과,429
2019,이비인후과,926
2019,입원전담의학과,578
2019,재활의학과,1461
2019,정신건강의학과,243
2019,정형외과,6001
2019,치과,131
2019,통증클리닉,60
2019,피부과,58
2019,한방진료과,4
2019,혈액종양내과,1694
2019,호흡기 내과,320
2019,호흡기내과,1553
2019,흉부외과,523
2020,가정의학과,940
2020,감염내과,19
2020,내과,1972
2020,내분비내과,260
2020,류마티스내과,58
2020,비뇨기과,773
2020,비뇨의학과,1983
2020,산부인과,286
2020,소아청소년과,461
2020,소화기내과,3238
2020,순환기내과,3225
2020,신경과,1604
2020,신경외과,3052
2020,신장내과,780
2020,심장내과,116
2020,안과,3777
2020,완화의료사업실,261
2020,외과,2837
2020,응급의학과,458
2020,이비인후과,807
2020,재활의학과,1297
2020,정신과,204
2020,정형외과,5815
2020,치과,152
2020,피부과,30
2020,혈액종양내과,327
2020,호흡기내과,1582
2020,흉부외과,501
2021,가정의학과,797
2021,감염내과,344
2021,내과,552
2021,내분비내과,315
2021,류마티스내과,172
2021,비뇨기과,783
2021,비뇨의학과,1887
2021,산부인과,186
2021,소아청소년과,180
2021,소화기내과,3155
2021,순환기내과,4056
2021,신경과,1548
2021,신경외과,3054
2021,신장내과,823
2021,심장내과,184
2021,안과,3538
2021,완화의료사업실,218
2021,외과,2762
2021,응급의학과,230
2021,이비인후과,698
2021,재활의학과,1007
2021,정신과,167
2021,정형외과,5605
2021,치과,158
2021,피부과,36
2021,혈액종양내과,596
2021,호흡기내과,2577
2021,흉부외과,504
2022,가정의학과,740
2022,감염내과,226
2022,내과,203
2022,내분비내과,428
2022,류마티스내과,94
2022,비뇨기과,868
2022,비뇨의학과,1856
2022,산부인과,180
2022,소아청소년과,133
2022,소화기내과,3270
2022,순환기내과,4413
2022,신경과,1450
2022,신경외과,2354
2022,신장내과,1040
2022,심장내과,324
2022,안과,2473
2022,완화의료사업실,290
2022,외과,2654
2022,응급의학과,127
2022,이비인후과,584
2022,재활의학과,1301
2022,정신과,181
2022,정형외과,5159
2022,치과,64
2022,피부과,24
2022,혈액종양내과,575
2022,호흡기내과,1908
2022,흉부외과,563
2023,가정의학과,931
2023,감염내과,243
2023,구강악안면외과,2
2023,내과,190
2023,내분비내과,437
2023,류마티스내과,38
2023,비뇨의학과,3411
2023,산부인과,237
2023,소아청소년과,108
2023,소화기내과,2998
2023,순환기내과,5154
2023,신경과,1549
2023,신경외과,2685
2023,신장내과,978
2023,심장내과,189
2023,안과,3412
2023,외과,2707
2023,응급의학과,95
2023,이비인후과,827
2023,입원전담의학과,341
2023,재활의학과,1965
2023,정신건강의학과,181
2023,정형외과,5453
2023,치과,56
2023,치과보철과,2
2023,치주과,4
2023,통증클리닉,20
2023,피부과,22
2023,혈액종양내과,1701
2023,호스피스완화의료센터,374
2023,호흡기·알레르기내과,368
2023,호흡기내과,953
2023,흉부외과,649
