상병명,건수
2형 당뇨병,17804
U07의 응급사용,105816
가려움,5206
감염성 및 기생충성 질환에 대한 특수선별검사,20881
감염성 및 상세불명 기원의 기타 위장염 및 대장염,425
고혈압성 심장병,15048
근육의 일차성 장애,442
급성 기관지염,4893
급성 세기관지염,1652
급성 인두염,2669
급성 코인두염 [감기],17000
급성 코인두염[감기],8545
급성 편도염,1093
급성인지 만성인지 명시되지 않은 기관지염,250
"급성인지 만성인지 명시되지 않은 기관지염, 알레르기 NOS(J45.0-), 호흡기 감염 NOS",3786
기관지 및 폐의 악성 신생물,7206
기타 갑상선기능저하증,961
기타 골부착부병증,331
기타 기능성 장장애,694
기타 기능적 창자 장애,4597
기타 내분비장애,10244
기타 다발신경병증,13470
기타 단일 감염성 질환에 대한 예방접종의 필요,202042
기타 대뇌혈관 질환,63
기타 만성 폐쇄성 폐질환,48252
기타 망막장애,93353
기타 백내장,891
기타 불안장애,21364
기타 예방적 조치의 필요,13990
기타 전신 증상 및 징후,661
기타 척추병증,449021
기타 추간판장애,216711
기타 피부염,149634
기타 호흡장애,8953
노인성 백내장,196740
뇌경색증,251088
뇌손상. 뇌기능 이상 및 신체질환에 의한 기타 정신 장애,7141
뇌하수체의 기능저하증 및 기타 장애,3096
뇌혈관질환의 후유증,9533
눈물기관의 장애,80098
다발관절증,929
달리 분류되지 않은 귀의 기타 장애,6143
달리 분류되지 않은 기타 연조직장애,9993
달리 분류되지 않은 방광의 신경근육기능장애,14395
달리 분류되지 않은 사춘기의 장애,69796
달리 분류되지 않은 처치후 근육골격 장애,939
달리 분류되지 않은 통증,20519
달리 분류된 질환에서의 녹내장,35862
달리 분류된 질환에서의 망막장애,6733
대뇌혈관 질환의 후유증,27135
대퇴골의 골절,249
두통,5356
등통증,12460
만성 바이러스간염,2301
만성 신장병,6987
만성 콩팥(신장)기능상실,252069
머리내 손상,453
"목부위의 관절 및 인대의 탈구, 염좌 및 긴장",473
목뼈원판 장애,10619
무릎관절증,6447
무릎의 관절 및 인대의 탈구. 염좌 및 긴장,159
방광의 악성 신생물,367
배통,123884
백선증,641
병감 및 피로,15712
병적 골절이 없는 골다공증,658
병적골절이 없는 골다공증,12309
보행과 이동의 이상,197
본태성(원발성) 고혈압,428202
본태성(일차성)고혈압,222373
비기질적 수면 장애,633
비뇨기계통의 기타 장애,1009
상세불명 병원체의 폐렴,5692
상세불명의 단백칼로리 영양실조,196
상세불명의 치매,38369
소양증,94365
소화불량,4721
심방세동 및 조동,16171
심장 및 혈관 삽입물 및 이식편의 존재,3539
심장기능상실(심부전),1195
심한 스트레스에 대한 반응 및 적응장애,317
알레르기성 접촉피부염. 제외: 외이의 습진(H60.5) (Eczema of external ear),1826
알츠하이머병에서의 치매(G30.-+),55052
앨러지성 접촉피부염,8726
어깨병변,142454
어지럼증 및 어지럼,1083
"엉덩관절의 관절 및 인대의 탈구, 염좌 및 긴장",209
"연기, 불 및 화염에 노출",15495
용적고갈,7484
우울증 에피소드,22791
위-식도역류병,73776
위염 및 십이지장염,68197
유아성 뇌성마비,365
윤충증,289350
음식 및 수액섭취에 관계된 증상 및 징후,12464
인슐린-비의존 당뇨병,694851
인지기능 및 자각에 관한 기타 증상 및 징후,25570
인후 및 흉곽의 동통,1681
자극성 접촉피부염,6799
자율신경계통의 장애,733
장의 기타 질환,7118
전립선의 악성 신생물,150783
전립선증식증,966204
전염성 질환에 접촉 및 노출,538
전음성 및 감각신경성 청력소실,11721
조현병,8423
지질단백질대사장애 및 기타 지질증,21321
진균증,2456
창자의 기타 질환,22423
척추증,765
체액용적고갈,27826
추 락,15592
치수 및 치근단주위조직의 질환,93516
치아 및 지지구조의 기타 장애,319834
치아우식,4401
치아우식증,149188
치은염 및 치주질환,13907
치은염(잇몸염)및 치주 질환,484358
치핵 및 항문주위정맥혈전증,129
코 및 코옆굴의 기타 장애,280
코로나-19에 대한 예방접종의 필요,7126
투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람,9292
팔의 단일신경병증,685
편두통,586
편마비,91074
폐경기 및 기타 폐경기전후 장애,3949
피부사상균증,56853
하반신마비 및 사지마비,25358
한정된 소인구집단에 대한 정례적인 일반 건강점검,626
"허리뼈 및 골반의 관절 및 인대의 탈구, 염좌 및 긴장",335
현기 및 어지러움,94339
혈관운동성 및 앨러지성 비염,21859
혈액 및 조혈기관의 기타 질환,6538
협심증,378399
호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,38612
