상병명,mean,sum,std
1형 당뇨병,119.0,119,
2형 당뇨병,2220.5,17764,2416.1838860957105
U07의 응급사용,1139.708661417323,144743,2581.74505125628
가려움,1565.75,6263,2845.0502485310635
각막 흉터 및 혼탁,29.75,119,22.005681084665387
각막염,388.0,12028,439.05998071637845
각막의 기타 장애,94.35714285714286,1321,82.96023805957344
간 및 간내 담관의 악성 신생물,347.0,347,
간 및 간내담관의 악성 신생물,463.796875,29683,603.2748506169513
간의 기타 질환,702.3333333333334,23177,659.991840227337
간의 섬유증 및 경변증,76.0,76,
간의 섬유증 및 경화증,758.05,15161,949.7739052283083
감염성 및 기생충성 질환에 대한 특수선별검사,875.5,42024,1224.6706548153907
감염성 및 상세불명 기원의 기타 위장염 및 결장염,331.22033898305085,19542,398.31291060120975
감염성 및 상세불명 기원의 기타 위장염 및 대장염,356.57894736842104,13550,367.525886683708
감염성 질환의 보균자,120.75,966,161.29099700319827
감염성 질환의 복합에 대한 예방접종의 필요,21.5,86,8.660254037844387
갑상선독증[갑상선기능항진증],238.51612903225808,7394,195.1776747765553
갑상선염,227.58823529411765,3869,139.41487493428087
갑상선의 기타 장애,355.8,5337,542.8135959977421
갑상선의 악성 신생물,376.97058823529414,12817,464.1822712328813
갑상선의 양성 신생물,189.33333333333334,1136,89.81462390204986
강박장애,51.1875,819,22.07930780919849
강직척추염,158.9375,2543,171.06040599741368
건강상태개선 이외의 목적으로 이루어진 처치를 위하여 보건서비스와 접하고 있는 사람,42.0,210,35.70714214271425
건선,456.1818181818182,15054,558.8537070728715
"견갑대의 관절 및 인대의 탈구, 염좌 및 긴장",57.0,57,
결막염,395.9655172413793,11483,429.65255753578873
결막의 기타 장애,184.24,4606,90.30885892314221
"결장, 직장, 항문 및 항문관의 양성 신생물",7.0,7,
결장. 직장. 항문 및 항문관의 양성 신생물,509.4848484848485,16813,535.9066570548994
결장의 악성 신생물,326.11475409836066,19893,363.33511154124443
결절홍반,5.0,5,
결합조직 및 기타 연조직의 기타 양성 신생물,247.8,3717,146.17758280353974
결합조직의 기타 전신침범,61.0,61,
결핵의 후유증,319.8333333333333,1919,176.61077732309167
경추간판장애,131.42857142857142,920,158.28650936709371
고관절증,128.0,256,120.20815280171308
고립성 단백뇨증,138.36363636363637,3044,131.4315122953488
고알도스테론증,27.333333333333332,82,2.886751345948129
고체 및 액체에 의한 폐렴,140.0,140,
고체 및 액체에 의한 폐염,196.88235294117646,3347,184.94184300508536
고혈압성 신장병,933.0,933,
고혈압성 심장병,954.3333333333334,28630,2850.563227266443
고혈압성 콩팥(신장)병,499.5,4995,510.9855944914473
고환염 및 부고환염,150.15384615384616,3904,67.1027226319125
고환의 기능이상,197.66666666666666,593,24.027761721253462
골괴사,394.0,788,291.3279938488576
골괴사증,377.6666666666667,2266,184.2245007230761
골수성 백혈병,209.0,1045,172.70784579746226
골수염,59.833333333333336,359,97.33533102972768
골수형성이상증후군,853.5384615384615,11096,758.927380735976
공포성 불안장애,110.24,2756,104.22263030007765
과다. 빈발 및 불규칙 월경,26.5,159,13.111064030047295
과민대장증후군,545.6666666666666,1637,895.949961400375
구강 및 소화기관의 행동양식 불명 또는 미상의 신생물,389.6666666666667,3507,332.10992156212376
구내염 및 관련 병변,61.5,246,50.50742519669756
구역 및 구토,118.57142857142857,830,132.23572026606774
굴절 및 조절의 장애,306.125,7347,385.76838201855963
궤양성 대장염,1.0,1,
근골격계 및 결합조직의 질환,30.0,150,0.0
근염,2.0,2,
근육긴장이상,2.0,2,
근육염,1.0,1,
근육의 기타 장애,299.0,299,
근육의 일차성 장애,104.625,837,77.1768608919983
급성 기관지염,644.5952380952381,27073,1243.071452914088
급성 및 일과성 정신병적 장애,1.0,1,
급성 부비동염,136.0,3672,168.8264926348487
급성 비인두염[감기],219.71428571428572,1538,309.60873926388354
급성 세기관지염,911.3636363636364,10025,556.0617362716612
급성 세뇨관-간질신장염,65.0,65,
급성 세뇨관-사이질성 신염,54.35,2174,43.17676844477054
급성 신부전,108.0,108,
급성 심근경색증,489.9130434782609,11268,365.16732317260187
급성 인두염,247.78688524590163,15115,281.9793204447268
급성 충수염,181.83333333333334,1091,28.985628622934275
급성 췌장염(이자염),4.5,9,2.1213203435596424
급성 코인두염 [감기],1442.5192307692307,75011,1468.2785103435422
급성 코인두염[감기],479.1904761904762,20126,793.3234273579027
급성 콩팥(신장)기능상실,242.48275862068965,7032,220.90376390275458
급성 편도염,284.03846153846155,7385,335.58074804961393
급성 후두염 및 기관염,205.41176470588235,3492,168.42136845703746
급성인지 만성인지 명시되지 않은 기관지염,486.2093023255814,20907,659.9542032501928
"급성인지 만성인지 명시되지 않은 기관지염, 알레르기 NOS(J45.0-), 호흡기 감염 NOS",1248.25,4993,1056.7772944192168
기관지 및 폐의 악성 신생물,676.0,52728,1313.376712756241
기관지확장증,433.5652173913044,9972,362.698575840871
기능검사의 이상결과,450.2142857142857,6303,649.5218571050113
기능성 소화불량,231.66666666666666,695,119.05600922814999
기대되는 정상 생리학적 발달의 결여,5.5,11,0.7071067811865476
기도출혈,93.0,186,69.29646455628166
기병증(氣病證),1.0,1,
기저핵의 기타 퇴행성 질환,11.0,11,
기질성 장애나 질병에 의하지 않은 성기능장애,102.0,102,
기질적 장애나 질병에 의하지 않은 성기능 이상,118.75,950,67.4828020419171
기침,650.8679245283018,34496,890.2988702533861
기타 갑상선기능저하증,749.2,44952,974.6684060206914
기타 결합조직 및 연조직의 악성 신생물,51.5,412,28.987682113023705
기타 골부착부병증,241.54237288135593,14251,232.3741277391875
기타 관절염,106.66666666666667,320,119.87632515777807
기타 관절증,927.0,3708,1371.912776624909
기타 근장애,175.47058823529412,2983,192.03486586003683
기타 급성 바이러스감염,1.0,1,
기타 기관. 계 및 조직으로부터의 검사재료의 이상 소견,106.75,427,111.23361302532012
기타 기능성 삽입물의 존재,74.0,148,31.11269837220809
기타 기능성 장장애,522.2,2611,1031.0444704279248
기타 기능적 삽입물의 존재,494.64,12366,366.2332908588914
기타 기능적 창자 장애,636.266129032258,78897,1103.3510163066394
"기타 내부 인공삽입장치, 삽입물 및 이식편의 합병증",80.75,969,130.22436931556385
기타 내분비장애,616.4705882352941,10480,880.7860919121522
기타 뇌혈관질환,752.25,3009,463.56687759157256
기타 다발신경병증,725.0,31175,1175.8368853511872
기타 단일 감염성 질환에 대한 예방접종의 필요,1289.3108808290156,248837,1965.4043600956722
기타 단일 바이러스질환에 대한 예방접종의 필요,20.0,100,4.949747468305833
기타 단일신경병증,15.727272727272727,173,15.893966837079464
기타 대뇌혈관 질환,804.2641509433962,42626,657.5252306052129
기타 동맥류 및 박리,241.33333333333334,1448,144.8829412548857
기타 두통증후군,300.7391304347826,13834,466.0611039949642
기타 류마티스관절염,64.0,64,
기타 마비증후군,126.77777777777777,1141,254.3210460116198
기타 만성 폐쇄성 폐질환,1636.8181818181818,126035,2549.5775538997204
기타 말초혈관질환,268.8157894736842,10215,353.1306974389004
기타 망막장애,3931.9333333333334,117958,5454.415167823999
기타 명시된 당뇨병,69.16666666666667,415,21.63715939458474
기타 모낭장애,162.69230769230768,2115,108.31157572437692
기타 무형성빈혈,96.33333333333333,578,23.678400846904054
기타 및 부위불명의 소화계통의 양성 신생물,525.2407407407408,28363,726.3972855277492
