년도,지역,구분,순위,상병코드,상병명,실인원,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료비(천원),진료과
2021,서울,입원(실인원),1.0, U07 , Emergency use of U07 ,2739.0,27848.0,1527.0,263.0,332.0,468,136.0,13.0,,내과
2021,서울,입원(실인원),2.0, H25 ," Senile incipient cataract, ",1420.0,4916.0,19.0,29.0,99.0,1051,185.0,37.0,,안과
2021,서울,입원(실인원),3.0, Z51 , therapeutic radiology ,694.0,8317.0,44.0,34.0,45.0,484,78.0,9.0,,내과
2021,서울,입원(실인원),4.0, M17 ," Osteoarthritis of patellofemoral joint, both ",471.0,10136.0,16.0,27.0,51.0,318,56.0,3.0,,정형외과
2021,서울,입원(실인원),5.0, C34 , lung cancer of hilus ,327.0,8220.0,6.0,2.0,13.0,254,40.0,12.0,,흉부외과
2021,서울,입원(실인원),6.0, M48 , spinal stenosis ,314.0,5046.0,13.0,13.0,22.0,235,24.0,7.0,,정형외과
2021,서울,입원(실인원),7.0, I25 , Atherosclerotic cardiovascular disease ,305.0,3532.0,8.0,7.0,16.0,220,47.0,7.0,,내과
2021,서울,입원(실인원),8.0, I67 , Dissection intracranial ,280.0,1813.0,20.0,19.0,49.0,180,12.0,0.0,,내과
2021,서울,입원(실인원),9.0, C22 , Combined hepatocellular carcinoma and cholangiocarcinoma ,252.0,2878.0,7.0,12.0,11.0,186,35.0,1.0,,"내과, 외과"
2021,서울,입원(실인원),10.0, I65 , Occlusion and stenosis of vertebral artery ,252.0,1708.0,1.0,3.0,8.0,222,16.0,2.0,,내과
2021,서울,입원(실인원),11.0, Z04 , Examination and observation following work accident ,244.0,831.0,0.0,1.0,0.0,215,26.0,2.0,,가정의학과
2021,서울,입원(실인원),12.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,242.0,4055.0,9.0,7.0,5.0,134,58.0,29.0,,내과
2021,서울,입원(실인원),13.0, M75 , periarthritis of shoulder ,231.0,3269.0,21.0,12.0,20.0,168,9.0,1.0,,정형외과
2021,서울,입원(실인원),14.0, K80 , gallstone(impacted) of cystic duct ,224.0,2675.0,9.0,4.0,9.0,148,40.0,14.0,,내과
2021,서울,입원(실인원),15.0, C61 , Acinar Prostate Adenocarcinoma ,220.0,3252.0,2.0,4.0,6.0,187,18.0,3.0,,비뇨의학과
2021,서울,입원(실인원),16.0, C16 , Malignant neoplasm of cardia of stomach ,181.0,3461.0,6.0,4.0,5.0,127,27.0,12.0,,"내과, 외과"
2021,서울,입원(실인원),17.0, I50 , Right heart failure ,179.0,3555.0,3.0,1.0,1.0,73,78.0,23.0,,내과
2021,서울,입원(실인원),18.0, N18 ," Chronic kidney disease, stage 1 ",177.0,5559.0,9.0,6.0,5.0,119,33.0,5.0,,내과
2021,서울,입원(실인원),19.0, K40 ," Bilateral inguinal hernia, with obstruction, without gangrene ",171.0,614.0,4.0,2.0,3.0,123,30.0,9.0,,내과
2021,서울,입원(실인원),20.0, J18 , bronchopneumonia ,153.0,2474.0,2.0,1.0,2.0,75,46.0,27.0,,내과
2021,서울,입원(연인원),1.0, U07 , Emergency use of U07 ,2739.0,27848.0,13881.0,2907.0,3680.0,5521,1660.0,199.0,,내과
2021,서울,입원(연인원),2.0, M17 ," Osteoarthritis of patellofemoral joint, both ",471.0,10136.0,413.0,558.0,1125.0,6693,1301.0,46.0,,정형외과
2021,서울,입원(연인원),3.0, Z51 , therapeutic radiology ,694.0,8317.0,591.0,186.0,426.0,4467,2039.0,608.0,,내과
2021,서울,입원(연인원),4.0, F20 , Paranoid schizophrenia ,79.0,8253.0,3608.0,1513.0,1395.0,1345,392.0,0.0,,정신건강의학과
2021,서울,입원(연인원),5.0, C34 , lung cancer of hilus ,327.0,8220.0,158.0,23.0,211.0,6370,1106.0,352.0,,흉부외과
2021,서울,입원(연인원),6.0, N18 ," Chronic kidney disease, stage 1 ",177.0,5559.0,122.0,89.0,128.0,3689,932.0,599.0,,내과
2021,서울,입원(연인원),7.0, M48 , spinal stenosis ,314.0,5046.0,179.0,224.0,333.0,3729,476.0,105.0,,정형외과
2021,서울,입원(연인원),8.0, H25 ," Senile incipient cataract, ",1420.0,4916.0,67.0,98.0,349.0,3628,642.0,132.0,,안과
2021,서울,입원(연인원),9.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,242.0,4055.0,100.0,155.0,34.0,1817,1499.0,450.0,,내과
2021,서울,입원(연인원),10.0, J15 , Pneumonia due to klebsiella pneumoniae ,87.0,3692.0,0.0,15.0,9.0,1700,1412.0,556.0,,내과
2021,서울,입원(연인원),11.0, E11 , non-insulin-dependent diabetes mellitus with coma ,133.0,3562.0,278.0,183.0,116.0,1985,740.0,260.0,,내과
2021,서울,입원(연인원),12.0, I50 , Right heart failure ,179.0,3555.0,22.0,13.0,11.0,1378,1731.0,400.0,,내과
2021,서울,입원(연인원),13.0, S72 , femur neck fracture Garden type III ,108.0,3541.0,14.0,186.0,41.0,710,1712.0,878.0,,외과
2021,서울,입원(연인원),14.0, I25 , Atherosclerotic cardiovascular disease ,305.0,3532.0,36.0,54.0,247.0,2444,660.0,91.0,,내과
2021,서울,입원(연인원),15.0, C16 , Malignant neoplasm of cardia of stomach ,181.0,3461.0,66.0,47.0,53.0,2532,567.0,196.0,,"내과, 외과"
2021,서울,입원(연인원),16.0, M75 , periarthritis of shoulder ,231.0,3269.0,328.0,149.0,277.0,2351,135.0,29.0,,정형외과
2021,서울,입원(연인원),17.0, C61 , Acinar Prostate Adenocarcinoma ,220.0,3252.0,23.0,69.0,59.0,2718,194.0,189.0,,비뇨의학과
2021,서울,입원(연인원),18.0, C22 , Combined hepatocellular carcinoma and cholangiocarcinoma ,252.0,2878.0,57.0,103.0,108.0,2058,543.0,9.0,,"내과, 외과"
2021,서울,입원(연인원),19.0, K80 , gallstone(impacted) of cystic duct ,224.0,2675.0,48.0,22.0,101.0,1842,496.0,166.0,,내과
2021,서울,입원(연인원),20.0, S06 ," Cerebral concussion, without open intracranial wound ",81.0,2672.0,50.0,13.0,183.0,1731,453.0,242.0,,외과
2021,서울,외래,1.0, N40 , benign prostate of hyperplasia(BPH) ,60388.0,60388.0,595.0,1319.0,2445.0,44207,8851.0,2971.0,,비뇨의학과
2021,서울,외래,2.0, I10 , essential hypertension ,54469.0,54469.0,2288.0,2355.0,4401.0,34447,8838.0,2140.0,,내과
2021,서울,외래,3.0, K05 , Acute gingivitis ,53947.0,53947.0,4853.0,3260.0,5211.0,34906,4933.0,784.0,,내과
2021,서울,외래,4.0, E11 , non-insulin-dependent diabetes mellitus with coma ,53443.0,53443.0,2832.0,2292.0,4141.0,35780,7091.0,1307.0,,내과
2021,서울,외래,5.0, K08 , Other disorders of teeth and supporting  structures ,41924.0,41924.0,1474.0,1087.0,3225.0,30757,4476.0,905.0,,내과
2021,서울,외래,6.0, M48 , spinal stenosis ,30964.0,30964.0,898.0,946.0,2287.0,20767,4926.0,1140.0,,정형외과
2021,서울,외래,7.0, L30 , Nummular dermatitis ,28265.0,28265.0,1569.0,921.0,1497.0,20829,2840.0,609.0,,피부과
2021,서울,외래,8.0, I20 , Angina pectoris ,25532.0,25532.0,355.0,530.0,1126.0,18836,3784.0,901.0,,내과
2021,서울,외래,9.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,22710.0,22710.0,284.0,534.0,962.0,14843,4500.0,1587.0,,내과
2021,서울,외래,10.0, H25 ," Senile incipient cataract, ",18689.0,18689.0,425.0,627.0,1292.0,13158,2673.0,514.0,,안과
2021,서울,외래,11.0, G81 , flaccid hemiplegia ,18343.0,18343.0,2350.0,605.0,1341.0,12041,1481.0,525.0,,신경과
2021,서울,외래,12.0, M51 , Lumbar and other intervertebral disc disorders with myelopathy ,17593.0,17593.0,1354.0,437.0,940.0,12351,2167.0,344.0,,정형외과
2021,서울,외래,13.0, N18 ," Chronic kidney disease, stage 1 ",17273.0,17273.0,1129.0,734.0,758.0,10283,3225.0,1144.0,,내과
2021,서울,외래,14.0, R42 , psychophysiologic dizziness ,16954.0,16954.0,594.0,490.0,1155.0,10572,3249.0,894.0,,정신건강의학과
2021,서울,외래,15.0, C61 , Acinar Prostate Adenocarcinoma ,16780.0,16780.0,9.0,176.0,302.0,13458,2395.0,440.0,,비뇨의학과
2021,서울,외래,16.0, U07 , Emergency use of U07 ,16243.0,16243.0,10370.0,1117.0,1330.0,2916,437.0,73.0,,내과
2021,서울,외래,17.0, M17 ," Osteoarthritis of patellofemoral joint, both ",16028.0,16028.0,661.0,680.0,1567.0,10324,2348.0,448.0,,정형외과
2021,서울,외래,18.0, R52 , acute pain ,15517.0,15517.0,2200.0,968.0,1166.0,9105,1525.0,553.0,,내과
2021,서울,외래,19.0, H35 , radiation retinopathy ,15475.0,15475.0,181.0,248.0,697.0,10920,2751.0,678.0,,안과
2021,서울,외래,20.0,K02,Caries limited to enamel,14653.0,14653.0,1979.0,719.0,1106.0,9262,1394.0,193.0,,내과
2022,서울,입원(실인원),1.0, H25 ," Senile incipient cataract, ",1182.0,3987.0,14.0,33.0,51.0,877,178.0,29.0,,안과
2022,서울,입원(실인원),2.0, U07 , Emergency use of U07 ,897.0,8163.0,418.0,74.0,82.0,210,87.0,26.0,,내과
2022,서울,입원(실인원),3.0, Z51 , therapeutic radiology ,636.0,8214.0,47.0,51.0,23.0,381,100.0,34.0,,내과
2022,서울,입원(실인원),4.0, M17 ," Osteoarthritis of patellofemoral joint, both ",426.0,8724.0,12.0,18.0,48.0,284,59.0,5.0,,정형외과
2022,서울,입원(실인원),5.0, I25 , Atherosclerotic cardiovascular disease ,421.0,4089.0,8.0,9.0,21.0,318,49.0,16.0,,내과
2022,서울,입원(실인원),6.0, C34 , lung cancer of hilus ,336.0,6350.0,2.0,2.0,14.0,253,47.0,18.0,,흉부외과
2022,서울,입원(실인원),7.0, M48 , spinal stenosis ,321.0,4981.0,10.0,9.0,18.0,232,41.0,11.0,,정형외과
2022,서울,입원(실인원),8.0, C61 , Acinar Prostate Adenocarcinoma ,296.0,3985.0,3.0,2.0,11.0,261,13.0,6.0,,비뇨의학과
2022,서울,입원(실인원),9.0, I65 , Occlusion and stenosis of vertebral artery ,289.0,1784.0,2.0,0.0,7.0,246,32.0,2.0,,내과
2022,서울,입원(실인원),10.0, Z04 , Examination and observation following work accident ,280.0,873.0,0.0,0.0,0.0,251,28.0,1.0,,가정의학과
2022,서울,입원(실인원),11.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,234.0,3012.0,3.0,4.0,9.0,129,59.0,30.0,,내과
2022,서울,입원(실인원),12.0, M75 , periarthritis of shoulder ,233.0,3036.0,16.0,9.0,26.0,170,11.0,1.0,,정형외과
2022,서울,입원(실인원),13.0, C22 , Ruptured hepatocellular carcinoma ,223.0,2688.0,7.0,9.0,13.0,163,21.0,10.0,,"내과, 외과"
2022,서울,입원(실인원),14.0, I67 , Dissection intracranial ,214.0,1120.0,17.0,13.0,28.0,137,19.0,0.0,,내과
2022,서울,입원(실인원),15.0, K80 , gallstone(impacted) of cystic duct ,214.0,1815.0,13.0,11.0,15.0,127,34.0,14.0,,내과
2022,서울,입원(실인원),16.0, J18 , bronchopneumonia ,209.0,3010.0,7.0,1.0,3.0,107,49.0,42.0,,내과
2022,서울,입원(실인원),17.0, N18 ," Chronic kidney disease, stage 1 ",204.0,5094.0,11.0,9.0,5.0,128,43.0,8.0,,내과
2022,서울,입원(실인원),18.0, K40 ," Bilateral inguinal hernia, with obstruction, without gangrene ",200.0,669.0,1.0,4.0,6.0,147,34.0,8.0,,내과
2022,서울,입원(실인원),19.0, I50 , Right heart failure ,187.0,5945.0,3.0,1.0,0.0,76,62.0,45.0,,내과
2022,서울,입원(실인원),20.0, C16 , Malignant neoplasm of cardia of stomach ,184.0,2573.0,4.0,2.0,7.0,130,32.0,9.0,,"내과, 외과"
2022,서울,입원(연인원),1.0, M17 ," Osteoarthritis of patellofemoral joint, both ",426.0,8724.0,251.0,355.0,973.0,5793,1248.0,104.0,,정형외과
2022,서울,입원(연인원),2.0, Z51 , therapeutic radiology ,636.0,8214.0,850.0,464.0,524.0,3706,1749.0,921.0,,내과
2022,서울,입원(연인원),3.0, U07 , Emergency use of U07 ,897.0,8163.0,3098.0,653.0,681.0,2471,1004.0,256.0,,내과
2022,서울,입원(연인원),4.0, F20 , Paranoid schizophrenia ,85.0,8057.0,4132.0,882.0,1070.0,1622,351.0,0.0,,정신건강의학과
2022,서울,입원(연인원),5.0, C34 , lung cancer of hilus ,336.0,6350.0,34.0,6.0,258.0,4811,947.0,294.0,,흉부외과
2022,서울,입원(연인원),6.0, I50 , Right heart failure ,187.0,5945.0,58.0,8.0,0.0,3677,1166.0,1036.0,,내과
2022,서울,입원(연인원),7.0, G81 , flaccid hemiplegia ,73.0,5163.0,30.0,216.0,0.0,3734,924.0,259.0,,신경과
2022,서울,입원(연인원),8.0, N18 ," Chronic kidney disease, stage 1 ",204.0,5094.0,240.0,105.0,185.0,3945,546.0,73.0,,내과
2022,서울,입원(연인원),9.0, M48 , spinal stenosis ,321.0,4981.0,104.0,140.0,233.0,3321,570.0,613.0,,정형외과
2022,서울,입원(연인원),10.0, I25 , Atherosclerotic cardiovascular disease ,421.0,4089.0,109.0,85.0,151.0,2914,644.0,186.0,,내과
2022,서울,입원(연인원),11.0, H25 ," Senile incipient cataract, ",1182.0,3987.0,41.0,110.0,175.0,2964,599.0,98.0,,안과
2022,서울,입원(연인원),12.0, C61 , Acinar Prostate Adenocarcinoma ,296.0,3985.0,21.0,21.0,164.0,3482,207.0,90.0,,비뇨의학과
2022,서울,입원(연인원),13.0, J15 , Pneumonia due to klebsiella pneumoniae ,76.0,3735.0,1758.0,0.0,95.0,805,690.0,387.0,,내과
2022,서울,입원(연인원),14.0, S72 , femur neck fracture Garden type III ,123.0,3342.0,123.0,74.0,26.0,1119,1541.0,459.0,,외과
2022,서울,입원(연인원),15.0, E11 , non0insulin0dependent diabetes mellitus with coma ,174.0,3293.0,266.0,160.0,62.0,2144,557.0,104.0,,내과
2022,서울,입원(연인원),16.0, M75 , periarthritis of shoulder ,233.0,3036.0,149.0,73.0,401.0,2210,173.0,30.0,,정형외과
2022,서울,입원(연인원),17.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,234.0,3012.0,12.0,25.0,82.0,1678,739.0,476.0,,내과
2022,서울,입원(연인원),18.0, J18 , bronchopneumonia ,209.0,3010.0,90.0,15.0,71.0,1491,863.0,480.0,,내과
2022,서울,입원(연인원),19.0, T84 , THR aseptic loosening ,78.0,2969.0,199.0,24.0,50.0,2320,330.0,46.0,,"내과, 외과"
2022,서울,입원(연인원),20.0, S06 ," Cerebral concussion, without open intracranial wound ",83.0,2798.0,8.0,2.0,7.0,1674,543.0,564.0,,외과
2022,서울,외래,1.0, N40 , benign prostate of hyperplasia(BPH) ,57720.0,57720.0,526.0,1134.0,2303.0,41658,8712.0,3387.0,,비뇨의학과
2022,서울,외래,2.0, E11 , non0insulin0dependent diabetes mellitus with coma ,55804.0,55804.0,2800.0,2221.0,3919.0,37582,7746.0,1536.0,,내과
2022,서울,외래,3.0, K05 , Acute gingivitis ,49278.0,49278.0,3960.0,2783.0,4380.0,32118,5170.0,867.0,,내과
2022,서울,외래,4.0, I10 , essential hypertension ,47553.0,47553.0,1881.0,1770.0,3550.0,30258,7837.0,2257.0,,내과
2022,서울,외래,5.0, K08 , Other disorders of teeth and supporting  structures ,40172.0,40172.0,1930.0,1209.0,2900.0,28028,5049.0,1056.0,,내과
2022,서울,외래,6.0, L30 , Nummular dermatitis ,27516.0,27516.0,1422.0,708.0,1137.0,20276,3172.0,801.0,,피부과
2022,서울,외래,7.0, I20 , Angina pectoris ,26133.0,26133.0,352.0,459.0,1023.0,18880,4227.0,1192.0,,내과
2022,서울,외래,8.0, M48 , spinal stenosis ,24547.0,24547.0,603.0,537.0,1489.0,16480,4291.0,1147.0,,정형외과
2022,서울,외래,9.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,22082.0,22082.0,290.0,342.0,962.0,14515,4265.0,1708.0,,내과
2022,서울,외래,10.0, N18 ," Chronic kidney disease, stage 1 ",20376.0,20376.0,1023.0,557.0,946.0,12364,4059.0,1427.0,,내과
2022,서울,외래,11.0, M51 , Lumbar and other intervertebral disc disorders with myelopathy ,19706.0,19706.0,1452.0,403.0,996.0,13045,3429.0,381.0,,정형외과
2022,서울,외래,12.0, H35 , radiation retinopathy ,17644.0,17644.0,192.0,269.0,659.0,12405,3078.0,1041.0,,안과
2022,서울,외래,13.0, Z11 , Special screening examination for Coronavirus disease 2019[COVID019] ,17337.0,17337.0,6680.0,1496.0,1996.0,6115,925.0,125.0,,가정의학과
2022,서울,외래,14.0, R42 , psychophysiologic dizziness ,16810.0,16810.0,657.0,515.0,1122.0,10448,3136.0,932.0,,정신건강의학과
2022,서울,외래,15.0, G81 , flaccid hemiplegia ,17313.0,17313.0,2324.0,668.0,1455.0,10994,1558.0,314.0,,신경과
2022,서울,외래,16.0, R52 , acute pain ,16023.0,16023.0,2668.0,1055.0,1058.0,9163,1480.0,599.0,,내과
2022,서울,외래,17.0, C61 , Acinar Prostate Adenocarcinoma ,16056.0,16056.0,19.0,71.0,277.0,12188,2815.0,686.0,,비뇨의학과
2022,서울,외래,18.0, H42 ," Glaucoma in endocrine, nutritional and metabolic diseases ",14462.0,14462.0,366.0,372.0,767.0,9809,2523.0,625.0,,안과
2022,서울,외래,19.0, K02 , Caries limited to enamel ,14323.0,14323.0,1871.0,515.0,1109.0,8916,1662.0,250.0,,내과
2022,서울,외래,20.0,K04,suppurative pulpitis,14094.0,14094.0,1084.0,557.0,911.0,9913,1431.0,198.0,,내과
