년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료비,진료과,high_cost,pred_bin,pred_cost
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
2021,부산,외래,N40,38146.0,418.0,574.0,1723.0,30461,3974.0,996.0,2862117.0,비뇨의학과,1,1,1670186.377274899
