상병코드,진료과_목록
A04,"['내과', '치과']"
A08,['내과']
A09,"['가정의학과', '내과', '소아청소년과', '응급의학과']"
A15,['내과']
A16,['내과']
A31,['내과']
A60,['산부인과']
A63,['산부인과']
A75,['응급의학과']
B00,"['마취통증의학과', '안과', '치과', '피부과']"
B01,['소아청소년과']
B02,"['마취통증의학과', '비뇨의학과', '안과', '피부과']"
B07,['피부과']
B08,['소아청소년과']
B17,['응급의학과']
B18,['내과']
B30,['안과']
B34,"['내과', '소아청소년과']"
B35,"['가정의학과', '비뇨의학과', '외과', '피부과']"
B36,['피부과']
B37,"['내과', '산부인과', '치과']"
B86,['피부과']
B90,"['가정의학과', '내과']"
B97,['산부인과']
C00,['성형외과']
C03,['치과']
C05,['치과']
C06,['방사선종양학과']
C08,"['방사선종양학과', '치과']"
C09,['방사선종양학과']
C10,['가정의학과']
C11,['방사선종양학과']
C13,['방사선종양학과']
C15,['방사선종양학과']
C16,"['가정의학과', '내과', '외과']"
C17,['외과']
C18,"['가정의학과', '내과', '외과', '핵의학과']"
C19,['외과']
C20,"['가정의학과', '방사선종양학과', '외과']"
C22,"['가정의학과', '내과', '방사선종양학과', '외과']"
C23,['방사선종양학과']
C24,['방사선종양학과']
C25,"['가정의학과', '방사선종양학과']"
C31,['치과']
C32,"['방사선종양학과', '이비인후과']"
C34,"['가정의학과', '내과', '방사선종양학과', '응급의학과', '흉부외과']"
C37,['방사선종양학과']
C41,['치과']
C43,['성형외과']
C44,"['방사선종양학과', '성형외과', '피부과']"
C46,['방사선종양학과']
C49,"['방사선종양학과', '성형외과']"
C50,"['방사선종양학과', '외과', '핵의학과']"
C61,"['가정의학과', '방사선종양학과', '비뇨의학과']"
C64,['비뇨의학과']
C65,['비뇨의학과']
C66,['방사선종양학과']
C67,"['방사선종양학과', '비뇨의학과']"
C71,['신경외과']
C73,"['내과', '외과', '이비인후과', '핵의학과']"
C77,['방사선종양학과']
C78,['방사선종양학과']
C79,['방사선종양학과']
C83,['방사선종양학과']
D04,"['성형외과', '피부과']"
D05,"['방사선종양학과', '외과']"
D09,['비뇨의학과']
D10,"['이비인후과', '치과']"
D11,['이비인후과']
D12,"['내과', '외과']"
D13,"['내과', '외과']"
D14,"['내과', '이비인후과']"
